Name,ChEBI,Family,Macrocomponent,Alternative Name,Model ID,Formula
L-alanine residue,46217,Amino Acid,Protein,Ala,ala_L_c,C3H5NO
L-arginine residue,29952,Amino Acid,Protein,Arg,arg_L_c,C6H12N4O
L-asparagine residue,50347,Amino Acid,Protein,Asn,asn_L_c,C4H6N2O2
L-aspartic acid residue,29958,Amino Acid,Protein,Asp,asp_L_c,C4H5NO3
L-cysteine residue,29950,Amino Acid,Protein,Cys,cys_L_c,C3H5NOS
L-glutamic acid residue,29972,Amino Acid,Protein,Glu,glu_L_c,C5H7NO3
L-glutamine residue,30011,Amino Acid,Protein,Gln,gln_L_c,C5H8N2O2
glycine residue,29947,Amino Acid,Protein,Gly,gly_c,C2H3NO
L-histidine residue,29979,Amino Acid,Protein,His,his_L_c,C6H7N3O
L-isoleucine residue,30009,Amino Acid,Protein,Ile,ile_L_c,C6H11NO
L-leucine residue,30006,Amino Acid,Protein,Leu,leu_L_c,C6H11NO
L-lysine residue,29967,Amino Acid,Protein,Lys,lys_L_c,C6H12N2O
L-methionine residue,16044,Amino Acid,Protein,Met,met_L_c,C5H9NOS
L-ornithine residue,44571,Amino Acid,Protein,Orn,,C5H10N2O
L-phenylalanine residue,29997,Amino Acid,Protein,Phe,phe_L_c,C9H9NO
L-proline residue,50342,Amino Acid,Protein,Pro,pro_L_c,C5H7NO
L-serine residue,29999,Amino Acid,Protein,Ser,ser_L_c,C3H5NO2
L-threonine residue,30013,Amino Acid,Protein,Thr,thr_L_c,C4H7NO2
L-tryptophan residue,29954,Amino Acid,Protein,Trp,trp_L_c,C11H10N2O
L-tyrosine residue,46858,Amino Acid,Protein,Tyr,tyr_L_c,C9H9NO2
L-valine residue,30015,Amino Acid,Protein,Val,val_L_c,C5H9NO
glycogen,28087,Carbohydrate,Carbohydrates,Glycogen,glycogen_c,H2O(C6H10O5)n
"alpha,alpha-trehalose",16551,Carbohydrate,Carbohydrates,Trehalose,tre_c,C12H22O11
chitin,17029,Carbohydrate,Carbohydrates,Chitin,chitin_c,H2O(C8H13NO5)n
(1->4)-beta-D-glucan,18246,Carbohydrate,Carbohydrates,(1→4)-beta-D-glucan,13BDglcn_c,(C6H10O5)nH2O
(1->4)-beta-D-mannan,27857,Carbohydrate,Carbohydrates,(1→4)-beta-D-mannan,mannan_c,(C6H10O5)nH2O
glucose,17234,Carbohydrate,Carbohydrates,Glucose,,C6H12O6
"1,2-diglyceride",49172,Glyceride,Lipids,Diglyceride,12dgr_SC_c,C5H6O5R2
triglyceride,17855,Glyceride,Lipids,Triglyceride,triglyc_SC_c,C6H5O6R3
zymosterol,18252,Sterol,Lipids,Zymosterol,zymst_c,C27H44O
ergosterol,16933,Sterol,Lipids,Ergosterol,ergst_c,C28H44O
fecosterol,17038,Sterol,Lipids,Fecosterol,fecost_c,C28H46O
episterol,23929,Sterol,Lipids,Episterol,epist_c,C28H46O
lanosterol,16521,Sterol,Lipids,Lanosterol,lanost_c,C30H50O
zymosterol ester,52322,Steryl Ester,Lipids,Zymosterol ester,zymstest_SC_c,C28H43O2R
ergosteryl ester,52320,Steryl Ester,Lipids,Ergosteryl ester,ergstest_SC_c,C29H43O2R
fecosterol ester,52321,Steryl Ester,Lipids,Fecosterol ester,fecostest_SC_c,C29H45O2R
episterol ester,52393,Steryl Ester,Lipids,Episterol ester,epistest_SC_c,C29H45O2R
lanosteryl ester,52394,Steryl Ester,Lipids,Lanosteryl ester,lanostest_SC_c,C31H49O2R
phosphatidate(2-),57739,Phospholipid,Lipids,Phosphatidate,pa_SC_c,C5H5O8PR2
1-phosphatidyl-1D-myo-inositol(1-),57880,Phospholipid,Lipids,Phosphatidylinositol,ptd1ino_SC_c,C11H16O13PR2
phosphatidyl-L-serine(1-),58436,Phospholipid,Lipids,Phosphatidylserine,ps_SC_c,C8H11NO10PR2
phosphatidylcholine,64482,Phospholipid,Lipids,Phosphatidylcholine,pc_SC_c,C10H18NO8PR2
phosphatidylethanolamine,16038,Phospholipid,Lipids,Phosphatidylethanolamine,pe_SC_c,C7H12NO8PR2
cardiolipin,28494,Phospholipid,Lipids,Cardiolipin,clpn_SC_c,C13H18O17P2R4
phosphatidylglycerol,17517,Phospholipid,Lipids,Phosphatidylglycerol,pg_SC_c,C8H13O10PR2
lysophosphatidylcholine,60479,Phospholipid,Lipids,Lysophosphatidylcholine,1agpc_SC_c,C9H19NO7PR
"1,2-diacyl-sn-glycero-3-phospho-N,N-dimethylethanolamine",64595,Phospholipid,Lipids,Dimethylphosphatidylethanolamine,ptd2meeta_SC_c,C9H16NO8PR2
adenosine 5'-monophosphate residue,50306,RNA,RNA,AMP,amp_c,C10H12N5O6P
cytidine 5'-monophosphate residue,50308,RNA,RNA,CMP,cmp_c,C9H12N3O7P
guanosine 5'-monophosphate residue,50324,RNA,RNA,GMP,gmp_c,C10H12N5O7P
uridine 5'-monophosphate residue,46470,RNA,RNA,UMP,ump_c,C9H11N2O8P
2'-deoxyadenosine 5'-monophosphate residue,50323,DNA,DNA,dAMP,damp_c,C10H12N5O5P
2'-deoxycytidine 5'-monophosphate residue,50321,DNA,DNA,dCMP,dcmp_c,C9H12N3O6P
2'-deoxyguanosine 5'-monophosphate residue,50322,DNA,DNA,dGMP,dgmp_c,C10H12N5O6P
thymidine 5'-monophosphate residue,50300,DNA,DNA,dTMP,dtmp_c,C10H13N2O7P
N-octodecanoylsphinganine,67033,Ceramide,,,cer1_18_c,C36H73NO3
N-hexadecanoylsphingosine,72959,Ceramide,,,cer16d4_c,C34H67NO3
N-octadecanoylsphingosine,72961,Ceramide,,,cer18d4_c,C36H71NO3
N-2-hydroxypalmitoylsphingosine,76751,Ceramide,,,cer2d16d4_c,C34H67NO4
N-2-hydroxystearoylsphingosine,76754,Ceramide,,,cer2d18d4_c,C36H71NO4
"(4E,8E)-N-hexadecanoylsphinga-4,8-dienine",157623,Ceramide,,,cer16d48_c,C34H65NO3
"N-octadecanoyl-(4E,14Z)-sphingadienine",136461,Ceramide,,,cer18d48_c,C36H69NO3
"N-(2R-hydroxyoctadecanoyl)-4E,8Z-octadecasphingadienine",189685,Ceramide,,,cer2d18d48_c,C36H69NO4
N-tetracosanoylphytosphingosine,52979,Ceramide,,,cer2_24_c,C42H85NO4
