Cultivation,Sample Point,Time d,Time h,Growth Rate model 1/h,Average Growth Rate 1/h,Viability %,Viability model %,Biomass g/L,Biomass model g/L,Biomass viable model g/L,qS g/gh,qS viable g/gh,qS model g/gh,qP mg/gh,qP model mg/gh,qO2 mmol/gh,qCO2 mmol/gh,qO2 viable mmol/gh,qCO2 viable mmol/gh,qO2 model mmol/gh,qCO2 model mmol/gh,qO2 viable model mmol/gh,qCO2 viable model mmol/gh
C034,C0.1,0,0,0.098,0.098,92,92,5.4,5.4,4.968,0.180782026,0.196502202,0.196502202,0.516168346,0.516168346,-2.640415424,2.186263971,-2.870016765,2.376373881,-2.640415424,2.186263971,-2.870016765,2.376373881
C035,C0.1,0,0,0.098,0.098,94.6,94.6,5.5,5.5,5.203,0.179304222,0.189539347,0.189539347,0.546513834,0.546513834,-2.411781158,2.188079718,-2.549451542,2.312980674,-2.411781158,2.188079718,-2.549451542,2.312980674
C036,C0.1,0,0,0.097,0.097,96.1,96.1,5.5,5.5,5.2855,0.176874372,0.184052416,0.184052416,0.565431311,0.565431311,-2.434676102,2.159905514,-2.533481896,2.247560368,-2.434676102,2.159905514,-2.533481896,2.247560368
C023,SS,0,0,0.026499501,0.024846,96.69,96.69,4.76,4.76,4.602444,0.0512,0.052952736,,0.232243754,,-0.823013167,0.677115378,-0.851187472,0.700295147,,,,
C023,R1,0.92,22,,0.017623,95.57,,7.014285714,,,0.0256,0.026786649,,0.112085482,,-0.495042191,0.383340363,-0.517989109,0.401109515,,,,
C023,R2,1.85,44.5,,0.007319,95.78,,8.28,,,0.017,0.017749008,,0.05756311,,-0.35484988,0.260223245,-0.370484318,0.2716885,,,,
C023,R3,5.88,141,,0.003923,97.03,,12.09,,,0.0074,0.007626507,,0.011921643,,-0.10310098,0.126666919,-0.106256807,0.130544078,,,,
C023,R4,7.9,189.5,,0.002291,97.595,,13.49,,,0.0065,0.006660177,,0.01554681,,-0.132001573,0.113521352,-0.136042021,0.116996138,,,,
C023,R5,9.88,237,,0.001113,98.16,,14.23,,,0.0061,0.006214344,,0.014314085,,-0.09385284,0.107617923,-0.096165623,0.110269915,,,,
C023,R6,13.88,333,,0.001269,97.61,,16.07,,,0.0054,0.00553222,,0.010144763,,-0.088647229,0.111917127,-0.090817774,0.11465744,,,,
