Sample,Ala - MSA,Gly - MSA,Val - HCl corr,Leu - HCl corr,Ile - HCl corr,Pro - MSA,Ser - MSA,Thr - MSA,Phe - HCl corr,Asx - MSA,Glu - MSA,Met - HCl corr,Cys - HCl corr,Lys - MSA,Tyr - MSA,Arg - LC MSA,His - LC MSA
C023_R6,208.5968852,170.975459,116.9117268,160.2137735,93.1307626,117.8149508,172.6691311,148.6462623,74.14980727,257.8231639,381.970918,31.37922775,31.41097501,165.4943279,63.51996721,201.7102616,58.85901639
C023_R10,192.2818462,163.1051428,117.8447254,159.2946694,88.77005377,110.2233777,167.2232803,149.9718527,71.80827421,260.153342,306.1883517,29.56725558,30.93123801,158.6258598,57.13262492,184.3467502,52.88611291
C023_SS,198.0316595,169.6399235,119.4744158,168.1785134,97.00130839,112.1767709,173.5086299,146.0742933,76.25924208,235.0458098,414.7949119,33.9183689,31.82179463,150.5136681,58.2039408,187.3581794,48.44529431
C024_R6,200.6074026,163.812283,118.5874869,162.6714501,92.71655943,112.8744677,162.149869,142.2020963,74.61983715,245.677432,363.7447593,31.83900789,32.29959015,160.9629217,61.54271209,196.6881435,53.04225352
C024_R10,196.3921112,168.3713385,121.344154,167.0871011,96.42064577,114.8205626,170.438571,151.1243938,76.09984112,261.8761558,309.4577433,29.90950009,32.4601229,167.1930165,59.9294536,194.4847367,55.84675073
C024_SS,201.5877774,171.3333223,120.9434625,169.2612544,96.75309514,113.8369162,174.8609805,148.5199569,77.21213023,236.9425472,424.1037264,34.0502611,31.04526511,151.9187148,59.49079165,187.2555483,48.2341835
C030_R6,195.76358,160.7684708,113.2296358,155.6423955,90.32120714,111.592028,162.2875611,140.1630421,72.59844322,242.332703,376.7393381,30.50137363,32.28260298,155.8563417,56.63192044,203.5146858,52.24127812
C030_R10,190.8106906,156.3780046,111.7900388,152.2951852,90.17445324,106.7691235,152.800083,139.1817231,70.68336791,238.6539011,328.3042829,28.75069085,30.5822525,157.7736056,56.06120518,194.4291313,57.3937583
C030_SS,194.0585644,164.0684992,118.0072201,164.5610106,91.10145295,114.061615,173.4768515,142.8581403,72.06212592,227.7501305,416.5484992,32.26106307,,142.6700163,57.25628059,192.2679441,49.06133768
C034_C0.1,242.5132606,198.9637731,138.1202818,196.7851386,105.5700864,122.1707341,204.5832176,166.9289848,87.65524587,284.0087467,459.3126488,35.53746843,35.46113186,175.6563492,70.6057209,176.7521284,44.83333333
C035_C0.1,246.006084,195.8295126,140.2734618,194.9003083,109.7576028,122.9116134,204.3305882,166.1367395,88.7212098,280.3925546,467.9987227,35.01054136,34.8010498,172.1204706,70.68028571,184.60841,48.13680672
C036_C0.1,244.6041367,193.7372956,139.2683788,199.594242,109.8097345,122.3362165,200.9130968,163.2487574,90.09259157,277.5379333,462.6434598,35.80183187,36.27476963,172.424068,67.0676913,187.5314497,48.38423806
C029_R6,180.4252098,157.6067808,113.9075511,150.6768299,90.55995149,113.85381,166.3630413,154.5267539,71.38863828,233.9407519,296.7981537,25.59454173,25.57627601,153.4089963,59.37029204,150.6579389,47.0020141
C029_R6,179.1205321,157.5991801,114.9690428,152.8361805,89.95852558,112.3038487,167.0679719,152.6686914,71.25501997,232.8241466,293.1437416,26.36060596,26.3761116,151.7507363,57.30058568,147.1787149,46.36311914
C029_R6,177.067076,155.5570996,113.2775043,158.602888,87.25490873,110.0344886,158.4408143,153.3241756,67.94950504,232.148284,289.8153769,26.34741622,,149.9001346,57.82425976,135.7399058,47.0538358
WFR Lysozyme on yeast (%),92.14864703,93.85558087,74.73511279,86.70168194,71.28092143,109.4889838,95.01337783,87.72961657,82.47980405,106.6835239,94.53326273,81.73557219,91.94154973,90.12944802,94.09877503,101.1001506,98.06123778
