Sample,Variable,Total,Glycogen,Trehalose
C023_R1,Mean,,0.04372625,0.100675
C023_R10,Mean,0.554814823,0.02594875,0.11285
C023_R2,Mean,,0.05004625,0.12433125
C023_R3,Mean,0.547115424,0.058025,0.14659625
C023_R5,Mean,,0.054415,0.14208125
C023_R6,Mean,0.541537672,0.0471025,0.12734
C023_R8,Mean,,0.0358075,0.11776625
C023_R9,Mean,,0.0308,0.11443875
C023_SS,Mean,0.515601574,0.04888125,0.08974875
C024_R1,Mean,,0.04369,0.10097375
C024_R10,Mean,0.538726592,0.02525375,0.11153125
C024_R2,Mean,,0.05104375,0.12805875
C024_R3,Mean,0.52575785,0.05707125,0.14348
C024_R5,Mean,,0.05393875,0.13831375
C024_R6,Mean,0.577170276,0.04640875,0.123715
C024_R8,Mean,,0.03278625,0.10853
C024_R9,Mean,,0.02972125,0.11205625
C024_SS,Mean,0.509216807,0.04984375,0.08948625
C025_R1,Mean,,0.05651125,0.07924375
C025_R10,Mean,0.558032073,0.01019625,0.03790125
C025_R2,Mean,,0.0535675,0.081735
C025_R3,Mean,0.49587425,0.04000375,0.06669375
C025_R5,Mean,,0.03069375,0.05026
C025_R6,Mean,0.515054722,0.02898,0.04677625
C025_R8,Mean,,0.01850375,0.04776125
C025_R9,Mean,,0.01375125,0.050325
C025_SS,Mean,0.510857831,0.060025,0.07687
C026_R1,Mean,,0.05820125,0.0814025
C026_R10,Mean,0.575524723,0.02602125,0.04857125
C026_R2,Mean,,0.05538,0.0820325
C026_R3,Mean,0.474215085,,
C026_R5,Mean,,0.02947625,0.0494075
C026_R6,Mean,0.516009955,0.0278475,0.04516625
C026_R8,Mean,,0.022155,0.056255
C026_R9,Mean,,0.02572375,0.05735375
C026_SS,Mean,0.475090902,0.06272375,0.07717
C029_R1,Mean,,0.05460125,0.09082375
C029_R10,Mean,0.564344287,0.01688,0.0691775
C029_R2,Mean,,0.05303,0.0987625
C029_R3,Mean,0.497020345,0.04303375,0.09513625
C029_R5,Mean,,0.03624375,0.08171625
C029_R6,Mean,0.525574022,0.03192125,0.07727125
C029_R6,Mean,,0.03192125,0.07727125
C029_R8,Mean,,0.0265875,0.09284875
C029_R9,Mean,,0.019785,0.07617
C029_SS,Mean,0.493349367,0.05552625,0.0854975
