Sample,Variable,Value
C034_C0.1,Mean,0.007070183
C035_C0.1,Mean,0.006652611
C036_C0.1,Mean,0.006900947
C023_SS,Mean,0.006932992
C024_SS,Mean,0.006441352
C030_SS,Mean,0.00730568
C023_R3,Mean,0.004898021
C024_R3,Mean,0.005021411
C030_R3,Mean,0.004898194
C023_R6,Mean,0.004395976
C024_R6,Mean,0.004185914
C030_R6,Mean,0.004216503
C023_R10,Mean,0.003964977
C024_R10,Mean,0.004136667
C030_R10,Mean,0.003801639
C034_C0.1,SD,0.000436909
C035_C0.1,SD,0.000300348
C036_C0.1,SD,5.83E-05
C023_SS,SD,0.000461792
C024_SS,SD,0.000794167
C030_SS,SD,0.000174202
C023_R3,SD,0.000105599
C024_R3,SD,0.000190203
C030_R3,SD,0
C023_R6,SD,0
C024_R6,SD,6.38E-05
C030_R6,SD,0.000299642
C023_R10,SD,0.000169859
C024_R10,SD,3.32E-05
C030_R10,SD,0
