,Type,Sample,Cer d36:2,Cer e42:0,Cer e44:0,Cer t42:0,Cer t44:0,DG 33:1,DG 34:1,DG 34:2,DG 34:3,DG 35:1,DG 35:2,DG 35:3,DG 36:1,DG 36:2,DG 36:3,DG 36:4,DG 36:5,EE 18:0,EE 18:1,EE 18:2,EE 18:3,Ergosterol,LPC 17:1,LPC 18:1,PC 32:1,PC 33:1,PC 33:2,PC 34:1,PC 34:4,PC 35:1,PC 35:3,PC 35:4,PC 36:1,PC 36:2,PC 36:2 (6Z)/(9E),PC 36:2 (9Z),PC 36:3,PC 36:4 (16/20),PC 36:4 (Z),PC 36:5,PC 36:6,PC 37:3,PC 38:3,PE 33:1,PE 34:1,PE 34:2,PE 34:3,PE 36:1,PE 36:2,PE 36:3,PE 36:4,PE 36:5,PG 34:0,PG 36:0,PI 34:1,PI 34:3,PI 35:2,PI 36:1,PI 36:2,PI 36:3,PI 36:4,PS 34:1,PS 34:2,PS 36:2,PS 36:3,TG 48:1,TG 48:2,TG 48:3,TG 50:2,TG 50:3,TG 50:4,TG 51:3,TG 51:4,TG 51:5,TG 52:3,TG 52:4,TG 52:5,TG 52:6,TG 53:3,TG 53:4,TG 53:5,TG 53:6,TG 53:9,TG 54:3,TG 54:4,TG 54:5,TG 54:6,TG 54:7,ZE 18:1,ZE 18:2
1,mean,C023_R10,1.03277E-05,4.66149E-05,7.93988E-06,3.1418E-05,6.79354E-06,1.22592E-05,0.000195638,0.00011127,4.46175E-05,2.86852E-05,7.63497E-05,5.89255E-05,4.87118E-05,0.000394696,0.000340892,0.000141906,1.45168E-05,6.74832E-05,0.000511458,0.00066061,7.46136E-05,0.007957107,1.44545E-05,0.00017491,4.88604E-05,5.16078E-05,6.36912E-05,0.000252631,1.88976E-05,3.33524E-05,0.000311268,1.90331E-05,7.46271E-05,0.001264855,0.0003913,0.001675676,0.001306208,3.76061E-05,0.00031671,4.01282E-05,NA,7.83346E-05,3.45356E-05,0.000138279,0.000549789,0.000808899,0.000317682,3.88086E-05,0.001349347,0.002831561,0.002365816,8.72449E-05,7.16709E-05,0.000582458,0.00139438,7.48217E-05,0.0004679,0.000206565,0.000483252,0.000347099,3.88636E-05,0.000378692,0.000207318,8.63265E-05,5.63803E-05,5.32823E-06,1.31509E-05,9.90301E-06,4.60213E-05,0.000114786,4.79537E-05,0.000114618,7.46169E-05,1.35323E-05,0.000381846,0.000369434,0.000129152,1.2981E-05,0.000151492,0.000195389,9.50891E-05,1.98706E-05,8.60056E-06,0.000307081,0.000646105,0.000448654,0.000208106,1.33119E-05,0.000114684,0.000151159
2,mean,C023_R6,NA,1.89228E-05,NA,1.12025E-05,NA,NA,8.82625E-05,5.24399E-05,2.32697E-05,1.26151E-05,3.44888E-05,2.41383E-05,2.10261E-05,0.000192418,0.000166717,6.66682E-05,NA,NA,0.000339688,0.000444166,6.28686E-05,0.004662737,1.01351E-05,0.000126718,4.55148E-05,4.04903E-05,4.67255E-05,0.000225893,1.67871E-05,2.17772E-05,0.000269391,1.51214E-05,5.96981E-05,0.001190629,0.000342635,0.001604367,0.001223353,3.37413E-05,0.000286664,3.38893E-05,NA,5.48713E-05,2.80835E-05,0.000111227,0.000511572,0.000685818,0.000244668,3.19345E-05,0.001157808,0.002329089,0.001644915,NA,5.18691E-05,0.000376729,0.000983952,7.40925E-05,0.000305922,0.000216758,0.000404587,0.000321174,3.73822E-05,0.00032497,0.000168093,6.7199E-05,3.9043E-05,NA,NA,3.68329E-06,2.27729E-05,4.37274E-05,1.87317E-05,3.96332E-05,2.42474E-05,4.31999E-06,0.000181609,0.000162799,4.91752E-05,NA,5.71004E-05,6.56308E-05,3.24801E-05,6.76417E-06,NA,0.000154998,0.000307414,0.000222829,0.000107153,NA,6.1449E-05,8.44494E-05
3,mean,C023_SS,NA,NA,NA,NA,NA,NA,6.02473E-05,NA,NA,NA,NA,NA,NA,7.69228E-05,5.21829E-05,NA,NA,NA,0.000153633,0.000260776,NA,0.004418066,NA,7.3987E-05,3.17012E-05,NA,5.08663E-05,0.000156278,3.66594E-05,NA,0.000230268,NA,NA,0.001001844,0.000345839,0.001288813,0.001228471,4.33745E-05,0.00034658,6.33422E-05,NA,NA,NA,NA,0.000642093,0.000782589,NA,NA,0.000691756,0.00127106,0.001593826,NA,NA,0.000399205,0.001291836,NA,NA,9.35956E-05,0.000188801,0.000151985,NA,0.000291755,0.000172965,NA,NA,NA,NA,NA,3.1075E-05,NA,NA,NA,NA,NA,0.000176661,0.000156962,NA,NA,2.0844E-05,NA,NA,NA,NA,NA,0.000282959,0.000274094,0.000168316,NA,NA,NA
4,mean,C024_R10,8.4457E-06,4.47401E-05,7.46808E-06,2.90918E-05,6.43498E-06,1.09323E-05,0.000173598,0.000100088,4.23162E-05,2.74773E-05,6.94506E-05,5.2985E-05,4.51203E-05,0.000364999,0.000318573,0.000134489,1.34741E-05,6.76428E-05,0.000473722,0.000616863,8.46187E-05,0.007154939,1.41308E-05,0.000162528,4.75266E-05,5.16824E-05,6.18777E-05,0.000244904,1.91841E-05,3.45622E-05,0.000316127,1.87624E-05,7.42396E-05,0.001320489,0.000386657,0.00186027,0.001353502,3.8018E-05,0.000327746,4.18713E-05,NA,8.0163E-05,3.23932E-05,0.000129049,0.000528487,0.000797931,0.000323006,3.86208E-05,0.001318808,0.002921892,0.002420161,8.71156E-05,6.83292E-05,0.000551261,0.001322985,7.47598E-05,0.000464945,0.000213698,0.000504113,0.000354653,4.12992E-05,0.000371675,0.000215315,9.17116E-05,5.84709E-05,5.02929E-06,1.30558E-05,8.66394E-06,4.06216E-05,0.000106829,4.40818E-05,0.000105068,6.79981E-05,1.20755E-05,0.000364238,0.000352926,0.000117291,1.2155E-05,0.000141869,0.000175365,8.90788E-05,1.84937E-05,NA,0.000281405,0.000611666,0.00044891,0.000187737,1.28495E-05,0.000105635,0.000134905
5,mean,C024_R6,NA,2.14538E-05,NA,1.30424E-05,NA,NA,8.73015E-05,5.40765E-05,2.2728E-05,1.21553E-05,3.25653E-05,2.67397E-05,2.15317E-05,0.000187914,0.000166704,6.85378E-05,NA,NA,0.000250593,0.000353555,4.84208E-05,0.00437364,8.7899E-06,0.00011486,4.12448E-05,3.65871E-05,4.20343E-05,0.000197561,1.44601E-05,1.91948E-05,0.000225521,1.46099E-05,4.99551E-05,0.000912174,0.000284791,0.001243987,0.001011292,2.79327E-05,0.000242703,2.98674E-05,NA,4.22403E-05,2.44968E-05,0.000108733,0.000425563,0.00059709,0.000221457,3.06032E-05,0.00101533,0.002047884,0.001522629,NA,4.29075E-05,0.000325078,0.000887596,6.64522E-05,0.000281289,0.00018772,0.000344155,0.000284454,3.44526E-05,0.000264901,0.000151098,5.64648E-05,3.8872E-05,NA,NA,3.59708E-06,2.20151E-05,4.24955E-05,1.79627E-05,3.65287E-05,2.48093E-05,4.23992E-06,0.000176929,0.00015819,4.72893E-05,NA,5.50344E-05,6.32781E-05,3.22451E-05,6.59219E-06,NA,0.000149558,0.000296079,0.000239179,0.000113217,NA,5.40042E-05,7.35478E-05
6,mean,C024_SS,NA,NA,NA,NA,NA,NA,5.45396E-05,NA,NA,NA,NA,NA,NA,6.84997E-05,4.76453E-05,NA,NA,NA,0.000105708,0.000197093,NA,0.003978057,NA,6.7879E-05,2.7031E-05,NA,4.5493E-05,0.000141886,3.31755E-05,NA,0.000201728,NA,NA,0.000830102,0.000301987,0.001060544,0.001099944,4.0377E-05,0.000309182,5.65641E-05,NA,NA,NA,NA,0.000582414,0.000657721,NA,NA,0.000595197,0.00111401,0.00141751,NA,NA,0.00032486,0.001071767,NA,NA,NA,0.000144587,0.000127591,NA,0.00025056,0.000142356,NA,NA,NA,NA,NA,2.80486E-05,NA,NA,NA,NA,NA,0.000142247,0.00014594,NA,NA,1.66981E-05,NA,NA,NA,NA,NA,0.00021531,0.000259611,0.00016556,NA,NA,NA
7,mean,C030_R10,6.59634E-06,4.01782E-05,6.13411E-06,2.34637E-05,4.58366E-06,7.69946E-06,0.000140746,9.15577E-05,3.91991E-05,2.36165E-05,5.7716E-05,4.7914E-05,3.87818E-05,0.000338453,0.000282515,0.00012041,1.25914E-05,6.82393E-05,0.000475602,0.000547741,7.36404E-05,0.007216382,8.28367E-06,0.000103151,3.89799E-05,3.91676E-05,5.10915E-05,0.00020782,1.5074E-05,2.62715E-05,0.000273469,1.50624E-05,6.16442E-05,0.001295605,0.000391458,0.001735242,0.001247864,3.21071E-05,0.000272876,3.14871E-05,NA,9.18558E-05,2.75822E-05,0.000116087,0.000453371,0.00065396,0.000249533,2.93453E-05,0.001299851,0.002451909,0.001911818,5.79816E-05,6.64636E-05,0.000555614,0.001192686,6.55703E-05,0.000412362,0.000190544,0.000480555,0.000319946,3.37623E-05,0.0003805,0.000209942,8.60701E-05,5.815E-05,NA,1.00967E-05,6.68951E-06,3.4768E-05,8.18169E-05,3.51136E-05,8.23243E-05,5.23025E-05,9.07795E-06,0.000292766,0.000271909,9.19382E-05,NA,0.000115493,0.000141046,6.81535E-05,1.35237E-05,NA,0.000247271,0.000482188,0.000325574,0.000140357,NA,9.53554E-05,0.000116043
8,mean,C030_R6,NA,1.71686E-05,NA,8.5678E-06,NA,NA,7.12569E-05,4.77384E-05,1.99405E-05,9.47204E-06,2.56779E-05,2.16934E-05,1.82762E-05,0.000164062,0.000136579,5.88851E-05,NA,NA,0.000276055,0.000339232,4.29089E-05,0.004492629,6.91659E-06,8.21352E-05,3.47511E-05,2.90277E-05,4.11947E-05,0.000181195,1.44074E-05,1.7566E-05,0.000232797,1.44101E-05,5.15256E-05,0.001061183,0.00031717,0.001447259,0.001115376,2.8975E-05,0.000252554,2.91305E-05,NA,4.98657E-05,2.23342E-05,7.40709E-05,0.000390181,0.000549617,0.000197037,2.16976E-05,0.000980349,0.001904146,0.001390517,NA,5.2563E-05,0.000373908,0.000892626,5.92706E-05,0.000258662,0.000172372,0.000327655,0.000263017,2.80599E-05,0.000318253,0.000162743,6.02761E-05,3.91843E-05,NA,NA,2.96403E-06,1.79183E-05,3.76652E-05,1.51595E-05,3.16155E-05,1.92619E-05,3.40064E-06,0.000149536,0.000134272,3.9262E-05,NA,4.63846E-05,5.37666E-05,2.49556E-05,5.07632E-06,NA,0.000138047,0.000251678,0.000193406,8.95127E-05,NA,4.66771E-05,6.13604E-05
9,mean,C030_SS,NA,NA,NA,NA,NA,NA,5.13017E-05,NA,NA,NA,NA,NA,NA,6.66324E-05,4.52425E-05,NA,NA,NA,NA,8.79037E-05,NA,0.004250714,NA,4.45068E-05,3.2148E-05,NA,5.03882E-05,0.000163321,3.56154E-05,NA,0.000219922,2.16725E-05,3.90353E-05,0.000876544,0.000330083,0.001125063,0.00118489,4.53695E-05,0.000332872,6.03614E-05,NA,NA,NA,NA,0.000568279,0.00072651,NA,NA,0.000660131,0.001218588,0.001648597,NA,NA,0.000354261,0.001111355,NA,NA,NA,0.000156261,0.000132758,NA,0.000296083,0.00018529,NA,NA,NA,NA,NA,2.87698E-05,NA,NA,NA,NA,NA,0.000157207,0.000140578,NA,NA,1.67532E-05,NA,NA,NA,NA,NA,0.00023332,0.000244404,0.000161393,NA,NA,NA
10,mean,C034_C0.1,NA,NA,NA,NA,NA,NA,0.000135913,6.96606E-05,NA,NA,NA,NA,NA,0.000103198,8.2306E-05,6.02343E-05,NA,NA,0.000330304,0.000552147,0.000179919,0.006514424,NA,9.09218E-05,8.33788E-05,2.14052E-05,6.43463E-05,0.000283888,0.000184933,NA,0.000241478,4.84847E-05,3.60202E-05,0.000829813,0.000294123,0.001075664,0.001488312,9.39288E-05,0.000709618,0.000310412,2.91392E-05,NA,NA,NA,0.001021387,0.001633609,0.000394639,3.94777E-05,0.000741546,0.001574715,0.003273893,0.000358155,0.000221711,0.000598136,0.001505472,0.000133257,7.41311E-05,0.000127332,0.000215767,0.000213091,NA,0.000230058,0.000215812,NA,NA,NA,NA,NA,3.2283E-05,3.58203E-05,NA,NA,NA,NA,0.000178072,0.000175159,4.60111E-05,NA,1.19207E-05,NA,NA,NA,NA,NA,0.000260799,0.000256068,0.00017989,NA,NA,NA
