Name,ChEBI,Family,Macrocomponent,Alternative Name,Model ID,Formula,ChEBI Name,Average Formula,Average Mass
L-alanine residue,46217,Amino Acid,Protein,Ala,ala_L_c,C3H5NO,L-alanine residue,C3H5NO,71.074
L-arginine residue,29952,Amino Acid,Protein,Arg,arg_L_c,C6H12N4O,L-arginine residue,C6H12N4O,156.177
L-asparagine residue,50347,Amino Acid,Protein,Asn,asn_L_c,C4H6N2O2,L-asparagine residue,C4H6N2O2,114.098
L-aspartic acid residue,29958,Amino Acid,Protein,Asp,asp_L_c,C4H5NO3,L-aspartic acid residue,C4H5NO3,115.083
L-cysteine residue,29950,Amino Acid,Protein,Cys,cys_L_c,C3H5NOS,L-cysteine residue,C3H5NOS,103.139
L-glutamic acid residue,29972,Amino Acid,Protein,Glu,glu_L_c,C5H7NO3,L-glutamic acid residue,C5H7NO3,129.108
L-glutamine residue,30011,Amino Acid,Protein,Gln,gln_L_c,C5H8N2O2,L-glutamine residue,C5H8N2O2,128.123
glycine residue,29947,Amino Acid,Protein,Gly,gly_c,C2H3NO,glycine residue,C2H3NO,57.049
L-histidine residue,29979,Amino Acid,Protein,His,his_L_c,C6H7N3O,L-histidine residue,C6H7N3O,137.13500000000002
L-isoleucine residue,30009,Amino Acid,Protein,Ile,ile_L_c,C6H11NO,L-isoleucine residue,C6H11NO,113.149
L-leucine residue,30006,Amino Acid,Protein,Leu,leu_L_c,C6H11NO,L-leucine residue,C6H11NO,113.149
L-lysine residue,29967,Amino Acid,Protein,Lys,lys_L_c,C6H12N2O,L-lysine residue,C6H12N2O,128.163
L-methionine residue,16044,Amino Acid,Protein,Met,met_L_c,C5H9NOS,L-methionine residue,C5H9NOS,131.189
L-ornithine residue,44571,Amino Acid,Protein,Orn,,C5H10N2O,L-ornithine residue,C5H10N2O,114.13799999999998
L-phenylalanine residue,29997,Amino Acid,Protein,Phe,phe_L_c,C9H9NO,L-phenylalanine residue,C9H9NO,147.16799999999998
L-proline residue,50342,Amino Acid,Protein,Pro,pro_L_c,C5H7NO,L-proline residue,C5H7NO,97.10999999999999
L-serine residue,29999,Amino Acid,Protein,Ser,ser_L_c,C3H5NO2,L-serine residue,C3H5NO2,87.073
L-threonine residue,30013,Amino Acid,Protein,Thr,thr_L_c,C4H7NO2,L-threonine residue,C4H7NO2,101.098
L-tryptophan residue,29954,Amino Acid,Protein,Trp,trp_L_c,C11H10N2O,L-tryptophan residue,C11H10N2O,186.20399999999998
L-tyrosine residue,46858,Amino Acid,Protein,Tyr,tyr_L_c,C9H9NO2,L-tyrosine residue,C9H9NO2,163.16699999999997
L-valine residue,30015,Amino Acid,Protein,Val,val_L_c,C5H9NO,L-valine residue,C5H9NO,99.124
glycogen,28087,Carbohydrate,Carbohydrates,Glycogen,glycogen_c,H2O(C6H10O5)n,glycogen,C6H10O5,162.131
"alpha,alpha-trehalose",16551,Carbohydrate,Carbohydrates,Trehalose,tre_c,C12H22O11,"alpha,alpha-trehalose",C12H22O11,342.275
chitin,17029,Carbohydrate,Carbohydrates,Chitin,chitin_c,H2O(C8H13NO5)n,chitin,C8H13NO5,203.18099999999998
(1->4)-beta-D-glucan,18246,Carbohydrate,Carbohydrates,(1→4)-beta-D-glucan,13BDglcn_c,(C6H10O5)nH2O,(1->4)-beta-D-glucan,C6H10O5,162.131
(1->4)-beta-D-mannan,27857,Carbohydrate,Carbohydrates,(1→4)-beta-D-mannan,mannan_c,(C6H10O5)nH2O,(1->4)-beta-D-mannan,C6H10O5,162.131
glucose,17234,Carbohydrate,Carbohydrates,Glucose,,C6H12O6,glucose,C6H12O6,180.144
"1,2-diglyceride",49172,Glyceride,Lipids,Diglyceride,12dgr_SC_c,C5H6O5R2,"1,2-diglyceride",C38.36H68.65O5,609.8675099999999
triglyceride,17855,Glyceride,Lipids,Triglyceride,triglyc_SC_c,C6H5O6R3,triglyceride,C56.04H98.97O6,868.7532299999999
zymosterol,18252,Sterol,Lipids,Zymosterol,zymst_c,C27H44O,zymosterol,C27H44O,384.604
ergosterol,16933,Sterol,Lipids,Ergosterol,ergst_c,C28H44O,ergosterol,C28H44O,396.615
fecosterol,17038,Sterol,Lipids,Fecosterol,fecost_c,C28H46O,fecosterol,C28H46O,398.629
episterol,23929,Sterol,Lipids,Episterol,epist_c,C28H46O,episterol,C28H46O,398.629
lanosterol,16521,Sterol,Lipids,Lanosterol,lanost_c,C30H50O,lanosterol,C30H50O,426.679
zymosterol ester,52322,Steryl Ester,Lipids,Zymosterol ester,zymstest_SC_c,C28H43O2R,zymosterol ester,C44.68H74.32O2,643.48972
ergosteryl ester,52320,Steryl Ester,Lipids,Ergosteryl ester,ergstest_SC_c,C29H43O2R,ergosteryl ester,C45.68H74.32O2,655.50072
fecosterol ester,52321,Steryl Ester,Lipids,Fecosterol ester,fecostest_SC_c,C29H45O2R,fecosterol ester,C45.68H76.32O2,657.51472
episterol ester,52393,Steryl Ester,Lipids,Episterol ester,epistest_SC_c,C29H45O2R,episterol ester,C45.68H76.32O2,657.51472
lanosteryl ester,52394,Steryl Ester,Lipids,Lanosteryl ester,lanostest_SC_c,C31H49O2R,lanosteryl ester,C47.68H80.32O2,685.5647200000001
phosphatidate(2-),57739,Phospholipid,Lipids,Phosphatidate,pa_SC_c,C5H5O8PR2,phosphatidate(2-),C38.36H67.65O8P,687.83151
1-phosphatidyl-1D-myo-inositol(1-),57880,Phospholipid,Lipids,Phosphatidylinositol,ptd1ino_SC_c,C11H16O13PR2,1-phosphatidyl-1D-myo-inositol(1-),C44.36H78.65O13P,850.96951
phosphatidyl-L-serine(1-),58436,Phospholipid,Lipids,Phosphatidylserine,ps_SC_c,C8H11NO10PR2,phosphatidyl-L-serine(1-),C41.36H73.65NO10P,775.9115099999999
phosphatidylcholine,64482,Phospholipid,Lipids,Phosphatidylcholine,pc_SC_c,C10H18NO8PR2,phosphatidylcholine,C43.36H80.65NO8P,774.98451
phosphatidylethanolamine,16038,Phospholipid,Lipids,Phosphatidylethanolamine,pe_SC_c,C7H12NO8PR2,phosphatidylethanolamine,C40.36H74.65NO8P,732.90951
cardiolipin,28494,Phospholipid,Lipids,Cardiolipin,clpn_SC_c,C13H18O17P2R4,cardiolipin,C79.73H143.3O17P2,1435.87113
phosphatidylglycerol,17517,Phospholipid,Lipids,Phosphatidylglycerol,pg_SC_c,C8H13O10PR2,phosphatidylglycerol,C41.36H75.65O10P,763.91851
lysophosphatidylcholine,60479,Phospholipid,Lipids,Lysophosphatidylcholine,1agpc_SC_c,C9H19NO7PR,lysophosphatidylcholine,C25.68H50.32NO7P,516.08872
"1,2-diacyl-sn-glycero-3-phospho-N,N-dimethylethanolamine",64595,Phospholipid,Lipids,Dimethylphosphatidylethanolamine,ptd2meeta_SC_c,C9H16NO8PR2,"1,2-diacyl-sn-glycero-3-phospho-N,N-dimethylethanolamine",C42.36H78.65NO8P,760.9595099999999
adenosine 5'-monophosphate residue,50306,RNA,RNA,AMP,amp_c,C10H12N5O6P,adenosine 5'-monophosphate residue,C10H12N5O6P,329.19699999999995
cytidine 5'-monophosphate residue,50308,RNA,RNA,CMP,cmp_c,C9H12N3O7P,cytidine 5'-monophosphate residue,C9H12N3O7P,305.171
guanosine 5'-monophosphate residue,50324,RNA,RNA,GMP,gmp_c,C10H12N5O7P,guanosine 5'-monophosphate residue,C10H12N5O7P,345.19599999999997
uridine 5'-monophosphate residue,46470,RNA,RNA,UMP,ump_c,C9H11N2O8P,uridine 5'-monophosphate residue,C9H11N2O8P,306.156
2'-deoxyadenosine 5'-monophosphate residue,50323,DNA,DNA,dAMP,damp_c,C10H12N5O5P,2'-deoxyadenosine 5'-monophosphate residue,C10H12N5O5P,313.198
2'-deoxycytidine 5'-monophosphate residue,50321,DNA,DNA,dCMP,dcmp_c,C9H12N3O6P,2'-deoxycytidine 5'-monophosphate residue,C9H12N3O6P,289.17199999999997
2'-deoxyguanosine 5'-monophosphate residue,50322,DNA,DNA,dGMP,dgmp_c,C10H12N5O6P,2'-deoxyguanosine 5'-monophosphate residue,C10H12N5O6P,329.19699999999995
thymidine 5'-monophosphate residue,50300,DNA,DNA,dTMP,dtmp_c,C10H13N2O7P,thymidine 5'-monophosphate residue,C10H13N2O7P,304.182
N-octodecanoylsphinganine,67033,Ceramide,,,cer1_18_c,C36H73NO3,N-octodecanoylsphinganine,C36H73NO3,567.9109999999998
N-hexadecanoylsphingosine,72959,Ceramide,,,cer16d4_c,C34H67NO3,N-hexadecanoylsphingosine,C34H67NO3,537.847
N-octadecanoylsphingosine,72961,Ceramide,,,cer18d4_c,C36H71NO3,N-octadecanoylsphingosine,C36H71NO3,565.8969999999998
N-2-hydroxypalmitoylsphingosine,76751,Ceramide,,,cer2d16d4_c,C34H67NO4,N-2-hydroxypalmitoylsphingosine,C34H67NO4,553.846
N-2-hydroxystearoylsphingosine,76754,Ceramide,,,cer2d18d4_c,C36H71NO4,N-2-hydroxystearoylsphingosine,C36H71NO4,581.8959999999998
"(4E,8E)-N-hexadecanoylsphinga-4,8-dienine",157623,Ceramide,,,cer16d48_c,C34H65NO3,"(4E,8E)-N-hexadecanoylsphinga-4,8-dienine",C34H65NO3,535.833
"N-octadecanoyl-(4E,14Z)-sphingadienine",136461,Ceramide,,,cer18d48_c,C36H69NO3,"N-octadecanoyl-(4E,14Z)-sphingadienine",C36H69NO3,563.8829999999999
"N-(2R-hydroxyoctadecanoyl)-4E,8Z-octadecasphingadienine",189685,Ceramide,,,cer2d18d48_c,C36H69NO4,"N-(2R-hydroxyoctadecanoyl)-4E,8Z-octadecasphingadienine",C36H69NO4,579.882
N-tetracosanoylphytosphingosine,52979,Ceramide,,,cer2_24_c,C42H85NO4,N-tetracosanoylphytosphingosine,C42H85NO4,668.06
N-hexacosanoylphytosphingosine,52980,Ceramide,,,cer2_26_c,C44H89NO4,N-hexacosanoylphytosphingosine,C44H89NO4,696.1099999999999
N-(2-hydroxytetracosanoyl)phytosphingosine,52373,Ceramide,,,cer3_24_c,C42H85NO5,N-(2-hydroxytetracosanoyl)phytosphingosine,C42H85NO5,684.059
N-(2-hydroxyhexacosanyl)-(4R)-phytosphingosine,52374,Ceramide,,,cer3_26_c,C44H89NO5,N-(2-hydroxyhexacosanyl)-(4R)-phytosphingosine,C44H89NO5,712.1089999999999
GlcCer(d18:0/18:0(2OH[R])),189686,Glucosylceramide,,,glccer180_c,C42H83NO9,GlcCer(d18:0/18:0(2OH[R])),C42H83NO9,746.0409999999999
GlcCer(d18:1(8E)/18:0(2OH[R])),189689,Glucosylceramide,,,glccer181_c,C42H81NO9,GlcCer(d18:1(8E)/18:0(2OH[R])),C42H81NO9,744.0269999999999
"GlcCer(d18:2(4E,8E)/16:0(2OH[R]))",189690,Glucosylceramide,,,glccer162_c,C40H75NO9,"GlcCer(d18:2(4E,8E)/16:0(2OH[R]))",C40H75NO9,713.9629999999999
"GlcCer(d18:2(4E,8E)/18:0(2OH[R]))",189691,Glucosylceramide,,,glccer182_c,C42H79NO9,"GlcCer(d18:2(4E,8E)/18:0(2OH[R]))",C42H79NO9,742.0129999999999
