,Sample,Family,Value,Sample Point,Cultivation Group
0,C023_R10,Cer,5.598132285983856e-05,R10,SC
1,C023_R10,HexCer,5.71161199235924e-06,R10,SC
2,C023_R6,Cer,3.329692775266294e-05,R6,SC
3,C023_R6,HexCer,5.284904839603022e-06,R6,SC
4,C023_SS,Cer,2.4744346826163755e-05,SS,SC
5,C023_SS,HexCer,1.1356705211356914e-05,SS,SC
6,C024_R10,Cer,6.569058951479316e-05,R10,SC
7,C024_R10,HexCer,6.381329897095769e-06,R10,SC
8,C024_R6,Cer,3.275724434579025e-05,R6,SC
9,C024_R6,HexCer,4.8454908012127785e-06,R6,SC
10,C024_SS,Cer,2.3525900634122157e-05,SS,SC
11,C024_SS,HexCer,1.1058410500536603e-05,SS,SC
12,C030_R10,Cer,5.1572678324189014e-05,R10,SC
13,C030_R10,HexCer,5.3675358197743815e-06,R10,SC
14,C030_R6,Cer,2.9213545920966527e-05,R6,SC
15,C030_R6,HexCer,5.1090650977125544e-06,R6,SC
16,C030_SS,Cer,2.139718662542252e-05,SS,SC
17,C030_SS,HexCer,1.0826578020642744e-05,SS,SC
18,C034_C0.1,Cer,2.781465719909294e-05,C0.1,C0.1
19,C034_C0.1,HexCer,1.2713060189824728e-05,C0.1,C0.1
20,C035_C0.1,Cer,2.6736495818770236e-05,C0.1,C0.1
21,C035_C0.1,HexCer,1.3453720087757788e-05,C0.1,C0.1
22,C036_C0.1,Cer,2.4518551577370697e-05,C0.1,C0.1
23,C036_C0.1,HexCer,1.324725624289323e-05,C0.1,C0.1
