Cultivation,Name,variable,g/g CDW
C0.1_C0.1,Protein,Value,0.31790163756649054
C0.1_C0.1,RNA,Value,0.04577942933333334
C0.1_C0.1,DNA,Value,0.006874580333333334
LC_R6,Protein,Value,0.24988355800122117
LC_R10,RNA,Value,0.027902555333333332
SC_R10,DNA,Value,0.003967761
SC_R3,DNA,Value,0.004939208666666667
SC_R10,Protein,Value,0.2684506903954161
LC_R3,RNA,Value,0.034942427
SC_R6,Protein,Value,0.27924652685015355
LC_R6,RNA,Value,0.02718968066666667
SC_R6,DNA,Value,0.004266131
LC_SS,RNA,Value,0.03530608233333333
SC_SS,DNA,Value,0.006893341333333333
SC_SS,Protein,Value,0.27980767697101755
SC_R10,RNA,Value,0.03439631966666667
SC_R3,Protein,Value,0.27952710191058555
SC_R3,RNA,Value,0.03733827233333333
SC_R6,RNA,Value,0.036179056333333334
SC_SS,RNA,Value,0.03775687133333334
C0.1_C0.1,Lipid,Value,0.02676462830776226
SC_R10,Lipid,Value,0.03200983006324311
SC_R6,Lipid,Value,0.021739819164685245
SC_SS,Lipid,Value,0.01731782647957215
SC_R3,Lipid,Value,0.0195288228221287
C0.1_C0.1,Carbohydrate,Value,0.4551808566666667
LC_R10,Carbohydrate,Value,0.5659670276666667
LC_R3,Carbohydrate,Value,0.4964472975
LC_R6,Carbohydrate,Value,0.5188795663333333
LC_SS,Carbohydrate,Value,0.4930993666666667
SC_R10,Carbohydrate,Value,0.5406366993333332
SC_R3,Carbohydrate,Value,0.5388674116666666
SC_R6,Carbohydrate,Value,0.5537614936666667
SC_SS,Carbohydrate,Value,0.5203997453333333
C0.1_C0.1,Protein,SD,0.001274010534276829
C0.1_C0.1,RNA,SD,0.0005092846833690684
C0.1_C0.1,DNA,SD,0.0002100309373147996
LC_R6,Protein,SD,0.004450998714598033
LC_R10,RNA,SD,0.0019679381636302324
SC_R10,DNA,SD,0.00016753134986622676
SC_R3,DNA,SD,7.118936146878509e-05
SC_R10,Protein,SD,0.006121928070974135
LC_R3,RNA,SD,0.0013927082905185145
SC_R6,Protein,SD,0.006255935362315827
LC_R6,RNA,SD,0.0004872291332487549
SC_R6,DNA,SD,0.0001134844251384306
LC_SS,RNA,SD,0.0019850023102848846
SC_SS,DNA,SD,0.0004335260712129473
SC_SS,Protein,SD,0.005312474634533666
SC_R10,RNA,SD,0.0015154825570630381
SC_R3,Protein,SD,0.027952710191058557
SC_R3,RNA,SD,0.0005945055362915777
SC_R6,RNA,SD,0.0005338219616363943
SC_SS,RNA,SD,0.0007360009483420076
C0.1_C0.1,Lipid,SD,0.0008505026710488868
SC_R10,Lipid,SD,0.0020996133892817732
SC_R6,Lipid,SD,0.0016608988772289328
SC_SS,Lipid,SD,0.0012747798140274455
SC_R3,Lipid,SD,0.00195288228221287
C0.1_C0.1,Carbohydrate,SD,0.006203103576294813
LC_R10,Carbohydrate,SD,0.008858508139583384
LC_R3,Carbohydrate,SD,0.0008104115463839665
LC_R6,Carbohydrate,SD,0.005817208954971153
LC_SS,Carbohydrate,SD,0.017884775023683186
SC_R10,Carbohydrate,SD,0.013326138328245708
SC_R3,Carbohydrate,SD,0.011478784266275547
SC_R6,Carbohydrate,SD,0.02027925358072543
SC_SS,Carbohydrate,SD,0.014203457749597168
