Name,ChEBI,Family,Macrocomponent,Alternative Name,Model ID,Formula,ChEBI Name
L-alanine residue,46217,Amino Acid,Protein,Ala,ala_L_c,C3H5NO,L-alanine residue
L-arginine residue,29952,Amino Acid,Protein,Arg,arg_L_c,C6H12N4O,L-arginine residue
L-asparagine residue,50347,Amino Acid,Protein,Asn,asn_L_c,C4H6N2O2,L-asparagine residue
L-aspartic acid residue,29958,Amino Acid,Protein,Asp,asp_L_c,C4H5NO3,L-aspartic acid residue
L-cysteine residue,29950,Amino Acid,Protein,Cys,cys_L_c,C3H5NOS,L-cysteine residue
L-glutamic acid residue,29972,Amino Acid,Protein,Glu,glu_L_c,C5H7NO3,L-glutamic acid residue
L-glutamine residue,30011,Amino Acid,Protein,Gln,gln_L_c,C5H8N2O2,L-glutamine residue
glycine residue,29947,Amino Acid,Protein,Gly,gly_c,C2H3NO,glycine residue
L-histidine residue,29979,Amino Acid,Protein,His,his_L_c,C6H7N3O,L-histidine residue
L-isoleucine residue,30009,Amino Acid,Protein,Ile,ile_L_c,C6H11NO,L-isoleucine residue
L-leucine residue,30006,Amino Acid,Protein,Leu,leu_L_c,C6H11NO,L-leucine residue
L-lysine residue,29967,Amino Acid,Protein,Lys,lys_L_c,C6H12N2O,L-lysine residue
L-methionine residue,16044,Amino Acid,Protein,Met,met_L_c,C5H9NOS,L-methionine residue
L-ornithine residue,44571,Amino Acid,Protein,Orn,,C5H10N2O,L-ornithine residue
L-phenylalanine residue,29997,Amino Acid,Protein,Phe,phe_L_c,C9H9NO,L-phenylalanine residue
L-proline residue,50342,Amino Acid,Protein,Pro,pro_L_c,C5H7NO,L-proline residue
L-serine residue,29999,Amino Acid,Protein,Ser,ser_L_c,C3H5NO2,L-serine residue
L-threonine residue,30013,Amino Acid,Protein,Thr,thr_L_c,C4H7NO2,L-threonine residue
L-tryptophan residue,29954,Amino Acid,Protein,Trp,trp_L_c,C11H10N2O,L-tryptophan residue
L-tyrosine residue,46858,Amino Acid,Protein,Tyr,tyr_L_c,C9H9NO2,L-tyrosine residue
L-valine residue,30015,Amino Acid,Protein,Val,val_L_c,C5H9NO,L-valine residue
glycogen,28087,Carbohydrate,Carbohydrates,Glycogen,glycogen_c,H2O(C6H10O5)n,glycogen
