,Cultivation Group,Sample Point,Name,Family,Macrocomponent,Value
0,C0.1,C0.1,L-alanine residue,Amino Acids,Protein,0.05463536741404589
1,C0.1,C0.1,L-arginine residue,Amino Acids,Protein,0.08988556406074302
2,C0.1,C0.1,L-asparagine residue,Amino Acids,Protein,0.05036336790878104
3,C0.1,C0.1,L-aspartic acid residue,Amino Acids,Protein,0.05079815131769399
4,C0.1,C0.1,L-cysteine residue,Amino Acids,Protein,0.011521503635749697
5,C0.1,C0.1,L-glutamic acid residue,Amino Acids,Protein,0.09408271152317606
6,C0.1,C0.1,L-glutamine residue,Amino Acids,Protein,0.09336492896244915
7,C0.1,C0.1,L-histidine residue,Amino Acids,Protein,0.02032560846021695
8,C0.1,C0.1,L-isoleucine residue,Amino Acids,Protein,0.038574797995010554
9,C0.1,C0.1,L-leucine residue,Amino Acids,Protein,0.07015032074226953
10,C0.1,C0.1,L-lysine residue,Amino Acids,Protein,0.06990685011194904
11,C0.1,C0.1,L-methionine residue,Amino Acids,Protein,0.014629188957455044
12,C0.1,C0.1,L-phenylalanine residue,Amino Acids,Protein,0.04111934018795794
13,C0.1,C0.1,L-proline residue,Amino Acids,Protein,0.03741200897146198
14,C0.1,C0.1,L-serine residue,Amino Acids,Protein,0.055677030896056974
15,C0.1,C0.1,L-threonine residue,Amino Acids,Protein,0.05261208241958383
16,C0.1,C0.1,L-tryptophan residue,Amino Acids,Protein,0.040679555540738835
17,C0.1,C0.1,L-tyrosine residue,Amino Acids,Protein,0.03564671563938333
18,C0.1,C0.1,L-valine residue,Amino Acids,Protein,0.04341001044399939
19,C0.1,C0.1,glycine residue,Amino Acids,Protein,0.03520489481127772
20,LC,R6,L-alanine residue,Amino Acids,Protein,0.05069481198791885
21,LC,R6,L-arginine residue,Amino Acids,Protein,0.09000664789477371
22,LC,R6,L-asparagine residue,Amino Acids,Protein,0.05299842757484607
23,LC,R6,L-aspartic acid residue,Amino Acids,Protein,0.05345595926831329
24,LC,R6,L-cysteine residue,Amino Acids,Protein,0.010683447086208083
25,LC,R6,L-glutamic acid residue,Amino Acids,Protein,0.07548796881955845
26,LC,R6,L-glutamine residue,Amino Acids,Protein,0.07491205060157609
27,LC,R6,L-histidine residue,Amino Acids,Protein,0.025595629049170055
28,LC,R6,L-isoleucine residue,Amino Acids,Protein,0.04027261649707455
29,LC,R6,L-leucine residue,Amino Acids,Protein,0.06950136697813777
30,LC,R6,L-lysine residue,Amino Acids,Protein,0.07752163376801904
31,LC,R6,L-methionine residue,Amino Acids,Protein,0.013654164185562688
32,LC,R6,L-phenylalanine residue,Amino Acids,Protein,0.04119546149808557
33,LC,R6,L-proline residue,Amino Acids,Protein,0.043395354015169765
34,LC,R6,L-serine residue,Amino Acids,Protein,0.056928163389024254
35,LC,R6,L-threonine residue,Amino Acids,Protein,0.0618845759038303
36,LC,R6,L-tryptophan residue,Amino Acids,Protein,0.043188095392410523
37,LC,R6,L-tyrosine residue,Amino Acids,Protein,0.037844901081037184
38,LC,R6,L-valine residue,Amino Acids,Protein,0.04508086926477272
39,LC,R6,glycine residue,Amino Acids,Protein,0.03569785574451106
40,SC,R10,L-alanine residue,Amino Acids,Protein,0.05114072881353169
41,SC,R10,L-arginine residue,Amino Acids,Protein,0.11116892446398931
42,SC,R10,L-asparagine residue,Amino Acids,Protein,0.053884789989954766
43,SC,R10,L-aspartic acid residue,Amino Acids,Protein,0.054349973587740054
44,SC,R10,L-cysteine residue,Amino Acids,Protein,0.0120349159830403
45,SC,R10,L-glutamic acid residue,Amino Acids,Protein,0.07566352018589942
46,SC,R10,L-glutamine residue,Amino Acids,Protein,0.07508626263886041
47,SC,R10,L-histidine residue,Amino Acids,Protein,0.028287968845954966
48,SC,R10,L-isoleucine residue,Amino Acids,Protein,0.03868778983334691
49,SC,R10,L-leucine residue,Amino Acids,Protein,0.06725234937400895
50,SC,R10,L-lysine residue,Amino Acids,Protein,0.07695847005950807
51,SC,R10,L-methionine residue,Amino Acids,Protein,0.014371938554107884
52,SC,R10,L-phenylalanine residue,Amino Acids,Protein,0.039944854624983823
53,SC,R10,L-proline residue,Amino Acids,Protein,0.04001028590906317
54,SC,R10,L-serine residue,Amino Acids,Protein,0.053027729775872855
55,SC,R10,L-threonine residue,Amino Acids,Protein,0.05526927136979695
56,SC,R10,L-tryptophan residue,Amino Acids,Protein,0.04002752221223224
57,SC,R10,L-tyrosine residue,Amino Acids,Protein,0.035075351317927106
58,SC,R10,L-valine residue,Amino Acids,Protein,0.04319903745502512
59,SC,R10,glycine residue,Amino Acids,Protein,0.03455831500515589
60,SC,R3,L-alanine residue,Amino Acids,Protein,0.05069764434199056
61,SC,R3,L-arginine residue,Amino Acids,Protein,0.10862791968563766
62,SC,R3,L-asparagine residue,Amino Acids,Protein,0.04907652785464326
63,SC,R3,L-aspartic acid residue,Amino Acids,Protein,0.0495002020639793
64,SC,R3,L-cysteine residue,Amino Acids,Protein,0.011679751102771758
65,SC,R3,L-glutamic acid residue,Amino Acids,Protein,0.09134888850278614
66,SC,R3,L-glutamine residue,Amino Acids,Protein,0.09065196302043613
67,SC,R3,L-histidine residue,Amino Acids,Protein,0.02528906085408289
68,SC,R3,L-isoleucine residue,Amino Acids,Protein,0.0377762277704774
69,SC,R3,L-leucine residue,Amino Acids,Protein,0.06602326926745988
70,SC,R3,L-lysine residue,Amino Acids,Protein,0.07073321101611334
71,SC,R3,L-methionine residue,Amino Acids,Protein,0.015141600127322692
72,SC,R3,L-phenylalanine residue,Amino Acids,Protein,0.039139152110636274
73,SC,R3,L-proline residue,Amino Acids,Protein,0.03943315943312585
74,SC,R3,L-serine residue,Amino Acids,Protein,0.052798769278153364
75,SC,R3,L-threonine residue,Amino Acids,Protein,0.052249291968461876
76,SC,R3,L-tryptophan residue,Amino Acids,Protein,0.03951955280682749
77,SC,R3,L-tyrosine residue,Amino Acids,Protein,0.03463022745393021
78,SC,R3,L-valine residue,Amino Acids,Protein,0.04171371972013567
79,SC,R3,glycine residue,Amino Acids,Protein,0.03396986162102842
80,SC,R6,L-alanine residue,Amino Acids,Protein,0.05132559954701491
81,SC,R6,L-arginine residue,Amino Acids,Protein,0.11221265292935143
82,SC,R6,L-asparagine residue,Amino Acids,Protein,0.05079029910582479
83,SC,R6,L-aspartic acid residue,Amino Acids,Protein,0.051228768181700246
84,SC,R6,L-cysteine residue,Amino Acids,Protein,0.011818278136370208
85,SC,R6,L-glutamic acid residue,Amino Acids,Protein,0.08649341960961228
86,SC,R6,L-glutamine residue,Amino Acids,Protein,0.0858335378182789
87,SC,R6,L-histidine residue,Amino Acids,Protein,0.026869553315486676
88,SC,R6,L-isoleucine residue,Amino Acids,Protein,0.03730060466586026
89,SC,R6,L-leucine residue,Amino Acids,Protein,0.06463216353937633
90,SC,R6,L-lysine residue,Amino Acids,Protein,0.07378755670248353
91,SC,R6,L-methionine residue,Amino Acids,Protein,0.01467637689082717
92,SC,R6,L-phenylalanine residue,Amino Acids,Protein,0.038888336516697715
93,SC,R6,L-proline residue,Amino Acids,Protein,0.03967694978405389
94,SC,R6,L-serine residue,Amino Acids,Protein,0.05166827568887963
95,SC,R6,L-threonine residue,Amino Acids,Protein,0.05201424356640376
96,SC,R6,L-tryptophan residue,Amino Acids,Protein,0.04038517701140073
97,SC,R6,L-tyrosine residue,Amino Acids,Protein,0.03538875737051418
98,SC,R6,L-valine residue,Amino Acids,Protein,0.04126270177556192
99,SC,R6,glycine residue,Amino Acids,Protein,0.03374674784430137
100,SC,SS,L-alanine residue,Amino Acids,Protein,0.05007335960664958
101,SC,SS,L-arginine residue,Amino Acids,Protein,0.1050641396159542
102,SC,SS,L-asparagine residue,Amino Acids,Protein,0.047372773791585034
103,SC,SS,L-aspartic acid residue,Amino Acids,Protein,0.04778173961206139
104,SC,SS,L-cysteine residue,Amino Acids,Protein,0.011542033775459813
105,SC,SS,L-glutamic acid residue,Amino Acids,Protein,0.09617597662735014
106,SC,SS,L-glutamine residue,Amino Acids,Protein,0.09544222397857592
107,SC,SS,L-histidine residue,Amino Acids,Protein,0.023717806551098702
108,SC,SS,L-isoleucine residue,Amino Acids,Protein,0.03824907080388522
109,SC,SS,L-leucine residue,Amino Acids,Protein,0.06740624382414695
110,SC,SS,L-lysine residue,Amino Acids,Protein,0.06769671832810155
111,SC,SS,L-methionine residue,Amino Acids,Protein,0.01560410408102238
112,SC,SS,L-phenylalanine residue,Amino Acids,Protein,0.039388501658865954
113,SC,SS,L-proline residue,Amino Acids,Protein,0.03919079406456123
114,SC,SS,L-serine residue,Amino Acids,Protein,0.053922655003659864
115,SC,SS,L-threonine residue,Amino Acids,Protein,0.05248296648584317
116,SC,SS,L-tryptophan residue,Amino Acids,Protein,0.03865898827430518
117,SC,SS,L-tyrosine residue,Amino Acids,Protein,0.03387613123108823
118,SC,SS,L-valine residue,Amino Acids,Protein,0.04216210141346251
119,SC,SS,glycine residue,Amino Acids,Protein,0.03419167127232283
120,C0.1,C0.1,"1,2-diglyceride",Lipid,Lipid,0.01441715021145117
121,C0.1,C0.1,1-phosphatidyl-1D-myo-inositol(1-),Lipid,Lipid,0.07901117508588856
122,C0.1,C0.1,Ceramide,Lipid,Lipid,0.0009847537539225746
123,C0.1,C0.1,Glucosylceramide,Lipid,Lipid,0.0004908722072438284
124,C0.1,C0.1,IPC,Lipid,Lipid,0.0008590263626766999
125,C0.1,C0.1,M(IP)2C,Lipid,Lipid,4.908722072438285e-05
126,C0.1,C0.1,MIPC,Lipid,Lipid,0.0001963488828975314
