,Average Growth Rate 1/h,Average Growth Rate 1/h,Biomass g/L,Biomass g/L,Biomass model g/L,Biomass model g/L,Biomass viable model g/L,Biomass viable model g/L,CPR,CPR,CPR_Std,CPR_Std,Cp mg/L,Cp mg/L,Cs g/L,Cs g/L,Death rate (10^-3 h^-1),Death rate (10^-3 h^-1),Growth Rate Pirt 1/h,Growth Rate Pirt 1/h,Growth Rate model 1/h,Growth Rate model 1/h,Interpolated/Pirt,Interpolated/Pirt,OUR,OUR,OUR_Std,OUR_Std,Viability %,Viability %,Viability model %,Viability model %,qCO2 mmol/gh,qCO2 mmol/gh,qCO2 model mmol/gh,qCO2 model mmol/gh,qCO2 viable mmol/gh,qCO2 viable mmol/gh,qCO2 viable model mmol/gh,qCO2 viable model mmol/gh,qO2 mmol/gh,qO2 mmol/gh,qO2 model mmol/gh,qO2 model mmol/gh,qO2 viable mmol/gh,qO2 viable mmol/gh,qO2 viable model mmol/gh,qO2 viable model mmol/gh,qP g/gh,qP g/gh,qP mg/gh,qP mg/gh,qP model g/gh,qP model g/gh,qP model mg/gh,qP model mg/gh,qS g/gh,qS g/gh,qS mmol/gh,qS mmol/gh,qS model g/gh,qS model g/gh,qS model mmol/gh,qS model mmol/gh,qS viable g/gh,qS viable g/gh,qS viable mmol/gh,qS viable mmol/gh,qStorGlyc mmol/gh
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean
Time d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C0.1,0.09766666666666668,0.0005773502691896243,5.466666666666666,0.05773502691896237,5.466666666666666,0.05773502691896237,5.152166666666667,0.16474095827490343,,,,,,,,,,,,,0.09766666666666668,0.0005773502691896243,,,,,,,94.23333333333333,2.0744477176668767,94.23333333333333,2.0744477176668767,2.1780830676666665,0.015768380616613974,2.1780830676666665,0.015768380616613974,2.3123049743333333,0.06440941476507879,2.3123049743333333,0.06440941476507879,2.495624228,0.12591430595656558,2.495624228,0.12591430595656558,2.650983401,0.1898564413108196,2.650983401,1.3254917004999998,0.0005427044969999999,2.4851422825111776e-05,0.542704497,0.024851422825111717,0.0005427044969999999,2.4851422825111776e-05,0.542704497,0.024851422825111717,0.17898687333333332,0.0019730617268867443,0.9935104761058934,0.010951962337567145,0.19003132166666667,0.006239456880685235,1.0548153914755358,0.034633633521421466,0.19003132166666667,0.006239456880685235,1.0548153914755358,0.034633633521421466,0.0
0.0,0.024872000000000002,7.830708780180822e-05,4.776666666666666,0.07637626158259772,4.776666666666561,0.07637626158273658,4.575863567087456,0.05716110313469006,0.0046750768988316,8.619471757613895e-05,0.00031942621727003333,7.293848442282794e-08,44.288820446650135,0.24490234227839305,9.878953333333333,0.12214999645244888,1.092938081346511,0.07921193541797603,0.026688441187702833,0.0002444672780235453,0.02664022579699697,0.00012285203710435925,0.9955914123864472,6.489990827915511e-05,0.007592374953413567,0.0024408553186986348,0.0010558269239419,8.031317269279191e-05,95.93666666666667,0.8405553719614973,95.80191568283061,0.8674555234967327,0.6809739169999999,0.0036231132296199136,0.6991179025273109,0.013465514476227902,0.709862878,0.008654340399936412,0.7298302184921397,0.02104205240779898,0.653261631,0.15711079903619518,1.1380257196288248,0.5294218849502349,0.6800567193333333,0.15797756414306555,1.185606678602772,0.592803339301386,0.00023137581533333335,5.37340833350651e-06,0.23137581533333332,0.005373408333506518,0.00016203482202361912,3.5703251405553344e-06,0.16203482202361913,0.0035703251405553374,0.05145174066666667,0.00047533408226355057,0.2855954876144378,0.002638458237658185,0.053338459835759466,0.0004702165450458335,0.2960681844388167,0.0026100520939954007,0.05363309066666666,0.0006062302834454322,0.29770360502379417,0.0033650296601025454,0.0
0.9,0.017254333333333333,0.0012417472904473505,6.981428571333333,0.08021654360643601,7.009685340806971,0.10198033818553742,6.710541284711222,0.07408468797685039,0.003838490640851167,0.00010767399336613621,0.0003169553849064667,5.360184584660886e-10,37.13044118025696,0.26323875150614895,7.364375552432531,0.04616064279159976,0.4512105426765285,0.025040265518752013,0.0125520677369627,7.64210354420432e-05,0.0125513664111705,7.645814757821764e-05,0.9999441134164412,7.832569914118613e-06,0.0064992439692206335,0.00189332111316353,0.0010478847022631001,7.875523618807431e-05,95.54333333333334,0.2311565126344768,95.73581389632305,0.39887879660319786,0.3936099546666667,0.012295104554012708,0.3911218915173416,0.011385572634219597,0.411958953,0.01226399907561166,0.4085636397224736,0.013633451375653315,0.390280413,0.12059827622062966,0.6640411789883677,0.2829298133226564,0.4083378263333333,0.12567399945909224,0.693046656977638,0.34652332848881895,0.00011845757733333334,5.621989312502508e-06,0.11845757733333334,0.005621989312502501,9.178700702272204e-05,2.2091068220534593e-06,0.09178700702272202,0.002209106822053458,0.025965552333333336,0.0008125373377367541,0.14412815744872962,0.004510187491600368,0.027044641032617667,0.00023008075310211048,0.15011790355368496,0.0012771195691628893,0.027178146333333333,0.0009144277904817506,0.15085895742208602,0.00507575540354886,0.0
1.9,0.007546333333333333,0.000537364246422605,8.283333333333333,0.005773502691895878,8.620076570280562,0.11421878587039294,8.267529943159419,0.08768926857524613,0.003243944525386767,0.00012931446773929348,0.00031680492714756663,1.477747575251573e-08,30.958779094931398,0.2866740597895208,5.811126080671002,0.015106802254289172,0.21980717140050096,0.019663669832912536,0.0073282542876383005,4.4756222095092666e-05,0.007332413145175867,4.504478423540399e-05,1.000567364595045,5.28107822337941e-05,0.005692531129234767,0.001604731060703966,0.0010474592355336667,7.880169912533584e-05,95.59666666666668,0.16802777548171172,95.91251566394892,0.31632901945194863,0.270862991,0.010583560197913124,0.2687699767512495,0.012268808580057394,0.28335270733333334,0.011558730781751162,0.2802430673147334,0.013906242740404296,0.25443209,0.1083341072787045,0.47291782706667834,0.19547423429151622,0.26602557099999996,0.11288338999718611,0.4927966581916037,0.24639832909580187,5.664273033333334e-05,7.978190025101763e-07,0.056642730333333335,0.0007978190025101755,6.199961356353403e-05,1.6932410052593083e-06,0.061999613563534034,0.0016932410052593052,0.017013643,8.040829774967287e-05,0.09443839228224427,0.0004463259494531032,0.017322000446634234,0.0001922826448831661,0.09615000580959965,0.0010673119123602074,0.017797336666666667,8.416104367421554e-05,0.09878847591346758,0.0004671564847921515,0.0
5.9,0.003971,4.419275958796851e-05,12.153333333333334,0.060277137733417356,12.31980325251291,0.13993893626067017,11.894646836079396,0.09940857676976365,0.0023661003163802335,0.00017844315006807136,0.0003166114063610333,1.2517029355045273e-08,14.72877926556284,0.41323966203611917,3.756762228370484,0.00848944724398979,0.0229485264082176,0.04174730534523523,0.002212858179829767,1.2133229180052783e-05,0.002215504523271433,1.1508696992007523e-05,1.001196954245505,0.00031526128074378244,0.004714208418833166,0.0013246634374028828,0.0010468964570416333,7.864904248555e-05,96.7,0.41797129088012613,96.55134221324171,0.36124583549236816,0.13575152866666665,0.007872766497610111,0.13715440329581643,0.013625636005350996,0.1404013656666667,0.008538179490652942,0.14207491031985234,0.07103745515992617,0.10018469733333334,0.04046960927969285,0.27386443577767,0.11245693128326045,0.10351163233333334,0.0415858053497743,0.2835372513568317,0.14176862567841586,1.0474165666666666e-05,1.5505767685111029e-06,0.010474165666666667,0.0015505767685111023,2.2035832005076466e-05,1.1124790964185443e-06,0.02203583200507647,0.0011124790964185457,0.007429001333333333,0.00015850057414827675,0.04123649133713744,0.000879796255180381,0.0077834227184308,8.836293074691672e-05,0.04320379403645063,0.0004904800880732075,0.007682330333333334,0.00014599186084619036,0.04264265599443445,0.0008103635784885912,0.0
7.9,0.0019903333333333335,0.0003223357462853498,13.37,0.13747727084867523,13.475575888282762,0.16013780048918375,13.034104208125987,0.09497048928669712,0.002373293633216433,0.00017101817228956336,0.00031657498196403333,1.0197107773980748e-08,10.991437258454697,0.4559209777684952,3.5856636918705775,0.004364890313836412,0.030690413137495733,0.05315735485942196,0.0016755953514061,2.5680581059318264e-05,0.0016791048882241,2.558710490260497e-05,1.0020953972495987,8.772120293052087e-05,0.004658287182711167,0.001428264560699107,0.0010468084953768333,7.862021376825191e-05,96.95333333333333,0.6580716779601803,96.72770639530421,0.5299343978448564,0.123467865,0.008657605243477142,0.1257805858264404,0.01211224390197986,0.127613481,0.009298410931580892,0.13005948921270008,0.06502974460635004,0.11299111966666668,0.03369778507036008,0.2474896899326319,0.1107924995197731,0.11666911033333334,0.034404668466810055,0.2556685517249173,0.12783427586245866,1.4657832999999999e-05,1.2746359705629676e-06,0.014657833,0.0012746359705629678,1.6480015257206466e-05,9.8114689342294e-07,0.01648001525720647,0.0009811468934229402,0.006598839666666666,9.826463819876035e-05,0.03662847569143779,0.0005454419403115105,0.0067793687028804665,6.420053386268547e-05,0.03763054632030277,0.00035636078655545766,0.006806869333333333,0.00014754628783650666,0.0377831953048099,0.0008189918061930068,0.0
9.9,0.0013743333333333333,0.00022769789927299137,14.280000000000001,0.09539392014169472,14.446403537324437,0.18542873020144318,13.982516934678022,0.08925199431485716,0.0024557452208467667,0.0001533245624014704,0.00031655822121163336,1.4465558166734869e-08,9.062900577288685,0.4605056492439731,3.530024284464762,0.0018294651971134579,0.0386192994241895,0.0668905887554117,0.0013764747883858,3.4579964692323165e-05,0.0013737593600088667,3.557709020400673e-05,0.9980144117539037,0.000775892710244086,0.004620338931652666,0.0014417365199831062,0.0010467873338043333,7.861739377702222e-05,96.99666666666667,1.235408164670013,96.79484661054259,0.7522020507169437,0.11763040233333333,0.009483591816037862,0.12141301560525743,0.010221451169867436,0.121578758,0.010963284148235834,0.12545816341130125,0.06272908170565063,0.080979827,0.026874679230325396,0.22901629000829793,0.10459959503262883,0.08347602266666666,0.027117145359530383,0.23634669373103442,0.11817334686551721,1.5386684e-05,2.073280854817553e-06,0.015386684,0.002073280854817553,1.4020633229645934e-05,8.261924466805989e-07,0.014020633229645932,0.0008261924466805981,0.006057798,0.0001414985032146984,0.03362529141410777,0.000785422096486927,0.006221403340190466,5.097161680386592e-05,0.03453342292341341,0.00028293044252684045,0.006246485,0.00019026952571812403,0.0346726448189347,0.0010561376014016975,0.0
13.9,0.001283,0.00010073231854772322,16.150000000000002,0.09165151389911504,16.11400880366358,0.25136796661640903,15.581515951878322,0.08270624526973322,0.0026751050344462333,0.0001185064438838462,0.00031654869911673336,2.001548568787742e-08,7.971563357583322,0.3615676044878796,3.5041104438105144,0.00047065549934793794,0.0621973779530573,0.08002563408412514,0.0010108651955454,4.72878171925151e-05,0.0010113406289428333,4.771612767623383e-05,1.000458014737686,0.0003947977231815887,0.004940728348300967,0.0012604685687056362,0.0010467763402624332,7.860605883305996e-05,96.78666666666668,1.4260551648983728,96.70849481888133,1.3294869378716625,0.11503143333333334,0.0027314589609277154,0.11858256631678148,0.007144951136128569,0.11887782166666666,0.0038174974088992313,0.12264744627598641,0.0613237231379932,0.09739615066666667,0.011481278147965169,0.2194840505672896,0.08319272501514088,0.10060671433333333,0.011384577277437675,0.22668810662597016,0.11334405331298508,9.808821666666665e-06,3.333128516594175e-07,0.009808821666666667,0.0003333128516594184,1.2542650216168967e-05,4.865155138382335e-07,0.012542650216168967,0.00048651551383823295,0.005369020666666668,5.3657779317945244e-05,0.029802064137007186,0.0002978406454292129,0.005541921637134267,4.0597417641864374e-05,0.030761793318758557,0.00022534590933337827,0.0055475333333333335,2.6523471366571633e-05,0.030792942412871806,0.00014722502368265148,0.0
