Fit,Cultivation,Time h,Time d,Growth Rate model 1/h,Growth Rate Pirt 1/h,Cs g/L,Biomass viable model g/L,Biomass model g/L,Cp mg/L,qS model g/gh,qP model mg/gh,Death rate (10^-3 h^-1),Viability model %,Sample Point
Gompertz,C023,0.0,0.0,0.026206994242544624,0.026043995455945768,9.80843,4.602444000000266,4.760000000000275,43.02,0.05240057637823242,0.3234189732286184,0.06465582861468734,96.69,SS
Gompertz,C023,22.0,0.9166666666666666,0.012300946191008641,0.01223358336886635,7.328558194393922,6.8163012496335345,6.98202226925811,40.444751113570554,0.026435945312232978,0.08603450779674225,0.06423808436504383,97.62646102757012,R1
Gompertz,C023,44.5,1.8541666666666667,0.0071800840112952674,0.007155583022156653,5.797157404150234,8.406654705417111,8.583439859106843,30.59524914675693,0.01695574837072792,0.03945051698720688,0.0642425049914478,97.94039270279075,R2
Gompertz,C023,141.0,5.875,0.0021689137768381764,0.0021709837538492695,3.7579613724510685,12.023913688742814,12.265635499046857,10.183482656847168,0.007684781815393606,0.014952170713047832,0.06425627349963504,98.02927609969474,R3
Gompertz,C023,189.5,7.895833333333333,0.0016489397467821334,0.0016479019930830347,3.58589458463073,13.133460975624683,13.414427573474764,8.066458915995439,0.00671341369795129,0.013308972943709039,0.06424332506536755,97.90548947160701,R4
Gompertz,C023,237.0,9.875,0.0013598118352507512,0.001356955845753201,3.5292167126793417,14.057081902979679,14.379561752276796,7.391680298479921,0.006173169928176235,0.012423116639346097,0.06423593484254084,97.75737359140268,R5
Gompertz,C023,333.0,13.875,0.0010033221925037188,0.0010015746622193693,3.503545560335152,15.624623320645828,16.038794796010365,7.228426995757628,0.00551344813207903,0.011443544245969732,0.06423661736781441,97.41768954193765,R6
Gompertz,C023,404.5,16.854166666666668,0.0008262373511306731,0.0008248281439556781,3.50070701722916,16.59971893844479,17.087946247150878,7.333490795456248,0.005185374293476837,0.010977372134619153,0.06423643206122699,97.14285554481135,R7
Gompertz,C023,476.5,19.854166666666668,0.0006902450078731606,0.0006886898311506661,3.5000610496858533,17.446911328803445,18.01391836818544,7.460383765526854,0.004932670953725053,0.010614802111435005,0.06423505906755067,96.85239475502792,R8
Gompertz,C023,572.5,23.854166666666668,0.000552386308172298,0.0005511571324736705,3.5000538115745594,18.39899105335554,19.07661760291652,7.625073111302324,0.0046774138061587344,0.010269520529270123,0.06423503289908986,96.4478684656478,R9
Gompertz,C023,669.0,27.875,0.000448725387430299,0.00044783291510666666,3.5000748534298496,19.185578690333195,19.979773458852765,7.769230672171379,0.004485671948748179,0.010025485619029564,0.06423548295041588,96.02500613855722,R10
Dynamic,C023,0.0,0.0,0.02629115855128325,0.026406853403196418,9.80843,4.5672831379713745,4.760000000000275,44.293801540091565,0.05280397800248288,0.16135363070104866,1.0113352880819813,95.95132642796452,SS
Dynamic,C023,22.0,0.9166666666666666,0.012478107517684165,0.012478786845244994,7.328560177790243,6.699458822749767,6.973517756208986,37.1417767398479,0.026897010729146662,0.0917745127067257,0.4306294978661774,96.07000450790841,R1
Dynamic,C023,44.5,1.8541666666666667,0.007311404091129991,0.007307082285613356,5.793849722056607,8.248383073966862,8.573671547235167,30.99529244907692,0.017271238606234047,0.0622127654375118,0.21177583104081418,96.2059606380279,R2
Dynamic,C023,141.0,5.875,0.0022167915395317323,0.002213881103411985,3.756694341458002,11.8812826535148,12.264392870699178,14.962437669809832,0.007774413088740908,0.02264513632240292,-0.0011072705173957112,96.87623984959203,R3
Dynamic,C023,189.5,7.895833333333333,0.0016765386955060375,0.0016730129901365242,3.5859903061657037,13.036063103445338,13.418995367573357,11.30973117658034,0.0067637529618301846,0.017132157894431108,0.0,97.14634178164063,R4
Dynamic,C023,237.0,9.875,0.0013666230162607438,0.0013697294480988125,3.5301858181760957,14.004647895132832,14.387580159260851,9.421810409830135,0.0061979840121799724,0.014615306633315764,0.0,97.33845261059041,R5
Dynamic,C023,333.0,13.875,0.000997354406411697,0.0009970238574343762,3.5042120485515103,15.652091929319191,16.044775786142342,8.260692676186077,0.005504819313212135,0.0128070877667946,0.02601316361279965,97.55257498105829,R6
Dynamic,C023,404.5,16.854166666666668,0.0008176571204817606,0.0008189867297222175,3.5006036132548797,16.63450758273434,17.087146675470787,8.26753850509778,0.005174376994711386,0.01235403205299539,0.08068280866435365,97.3509966214182,R7
Dynamic,C023,476.5,19.854166666666668,0.0006949930736355319,0.0006929113051302706,3.4996173729535927,17.413357129369658,18.01009738271333,8.639213810715074,0.004941549348233894,0.012747057526898238,0.1572339852104611,96.68663505441984,R8
Dynamic,C023,572.5,23.854166666666668,0.000584111730976949,0.0005868360614172822,3.5014226046270305,18.11518075891967,19.092409330305813,10.911569599094797,0.004752552676510531,0.01727738707924054,0.2945392411400714,94.88158589898362,R9
Dynamic,C023,669.0,27.875,0.0005302101474451588,0.0005302363303335501,3.5003497538164225,18.416347457955627,20.071326592359437,19.086135423669745,0.004673400717928135,0.032905763246992244,0.4816424345840276,91.75451046153665,R10
Gompertz,C024,0.0,0.0,0.026726086736494,0.026557493108528965,9.80843,4.525838999999694,4.709999999999681,42.84,0.05350356759579929,0.33132228492241345,0.06539832365899793,96.09,SS
Gompertz,C024,22.0,0.9166666666666666,0.012470193063042258,0.012402583531413752,7.348094558141338,6.746932018668495,6.9392465756780215,40.23840338158513,0.02688752004383446,0.08574179330021021,0.06496724496685782,97.22859600228666,R1
Gompertz,C024,44.5,1.8541666666666667,0.007251804789151923,0.007227609119674892,5.820947421479955,8.34207625430121,8.545483124826907,30.24804728678026,0.017226691097354967,0.03851810702191349,0.06497171826244287,97.61971479488683,R2
Gompertz,C024,141.0,5.875,0.0021487455028755898,0.0021516035213436746,3.766467781983475,11.941600635327108,12.210248896496331,9.715319183334064,0.007786711047897791,0.014176570576033103,0.06498759133237521,97.79981339081212,R3
Gompertz,C024,189.5,7.895833333333333,0.0016226092114584544,0.001621578506415522,3.5897677746727026,13.027993143037646,13.336037409462422,7.593412073708077,0.006802541161848753,0.01256754347447438,0.06497218258919193,97.69013645532962,R4
Gompertz,C024,237.0,9.875,0.0013317909536006,0.0013291900954074845,3.530864455662111,13.925512183847346,14.275175840366414,6.907269175586642,0.006259681170342339,0.01171496106168816,0.0649654366547813,97.55054746484934,R5
Gompertz,C024,333.0,13.875,0.0009774264938601776,0.0009756969742931858,3.503802259583306,15.436912572569478,15.878314149834168,6.712308278349926,0.005603527258665175,0.010778915440309974,0.0649655554392524,97.22009797073261,R6
Gompertz,C024,404.5,16.854166666666668,0.0008023845468721828,0.0008011224382996321,3.500793466125718,16.37020655443653,16.885535503052083,6.793701086510166,0.005279522870970557,0.010341525593684288,0.06496581545319993,96.9481042012413,R7
Gompertz,C024,476.5,19.854166666666668,0.0006684357988312142,0.0006670273220845626,3.5000773909230367,17.176585903288927,17.77041939662354,6.897790004405176,0.005030638921706317,0.010000692667646105,0.06496448802436636,96.65830344191289,R8
Gompertz,C024,572.5,23.854166666666668,0.0005331227956347021,0.0005319594391811987,3.500026747946926,18.077072452463664,18.78093257790694,7.034112649352733,0.004779974830039807,0.009672817672646779,0.06496423222059589,96.25226211465524,R9
Gompertz,C024,669.0,27.875,0.0004317044500124791,0.00043089024812862097,3.5000899530952303,18.815602285869307,19.635183265684798,7.156641255011776,0.004592439317468672,0.009447278203899007,0.06496479879091228,95.82595706530623,R10
Dynamic,C024,0.0,0.0,0.026695095563268767,0.02681204526504115,9.80843,4.51025220623228,4.709999999999681,44.53119424764983,0.05368846835872875,0.1658966682292171,1.0979586337848306,95.75907019602091,SS
Dynamic,C024,22.0,0.9166666666666666,0.012630665510185093,0.012631282915232082,7.348096266396002,6.642622150390094,6.930718019023243,37.38782903927406,0.02730974424741732,0.09400233450300234,0.47908885468515744,95.8432031451519,R1
Dynamic,C024,44.5,1.8541666666666667,0.007384124435271085,0.007379668332492253,5.817675947472771,8.190996143022756,8.536363875107375,31.2254471408698,0.01753457122284332,0.0635761864051314,0.2422153153214686,95.95415873623037,R2
Dynamic,C024,141.0,5.875,0.0022034064178846438,0.002200245872165611,3.7652854154934965,11.802596389140117,12.216054371317728,14.97225525473318,0.007875945301140181,0.022710552567410655,-0.0012012820669997021,96.61545397875459,R3
Dynamic,C024,189.5,7.895833333333333,0.0016548975760243393,0.0016513035142117394,3.5898561004826215,12.9381694242171,13.3514092739066,11.195444088071756,0.006849936592700175,0.01695624170875734,0.0,96.9048971444751,R4
Dynamic,C024,237.0,9.875,0.001342291353498164,0.001345764482625928,3.5317676264470013,13.884281597669787,14.297521447359287,9.223229786698388,0.006279875778132446,0.014369335703231548,0.0,97.10970988075822,R5
Dynamic,C024,333.0,13.875,0.0009721805385330451,0.0009720425517093453,3.5045219983979203,15.490509056467099,15.904512742890091,8.087832573494376,0.005585286373784812,0.012839677211446436,0.006654377429912576,97.39694203075749,R6
Dynamic,C024,404.5,16.854166666666668,0.0007907424675071971,0.0007919601804496523,3.5005862457675616,16.455473160825083,16.906164842928643,8.316883618726791,0.005251855309647187,0.012873055627841778,0.06106153726715491,97.33415776853688,R7
Dynamic,C024,476.5,19.854166666666668,0.0006674334907966279,0.0006653769935150334,3.499775993282344,17.21442326213254,17.78550503724706,9.067782029071783,0.005019149316101864,0.01391281082389363,0.14100502609958943,96.78906067655353,R8
Dynamic,C024,572.5,23.854166666666668,0.0005576981350290173,0.0005604972903734409,3.501252251140728,17.88167318815676,18.80903276314194,11.964579641573607,0.004833899232395068,0.019376508389472608,0.28865260440994506,95.06960519095684,R9
