,Derived,Consensus
,16.9,16.9
ADPtn,0.0,0.0
ATPtn,0.0,0.0
FACOAE140,0.0,0.0
FACOAL260,-1.4286419271327787e-06,-4.551612906780515e-06
GLCter,0.0,0.0
DAGL_PP,0.0,0.0
M4MPDOLter,0.0,0.0
M7MASNBterg,0.0,0.0
MANter,0.0,0.0
MIPCS124_SC,1.6357552353842567e-08,0.0
MIPCS126_SC,0.0,0.0
MIPCS224_SC,0.0,0.0
MIPCS226_SC,0.0,0.0
MIPCS324_SC,7.863597662772942e-08,4.290203658425053e-06
MIPCS326_SC,6.021500941080053e-08,2.802462857275857e-06
NADH2_u6mh,8.058852128730567,8.281062448381869
NDPK10,0.0,0.0
NTP10,0.0,0.0
NTP5,0.0,0.0
NTP7,0.0,0.0
NTP9,0.0,0.0
SPHK21c,-1.7207740242347858e-06,-2.0984076446509284e-07
POLYPPE,0.0,0.0
NDP11,0.0,0.0
PHEPYRAT,0.0,0.0
NDP10,0.0,0.0
MAGL_PP,0.0,0.0
CERASE116,-1.2974944248041337e-07,-3.9793342354671683e-07
CERASE118,-1.8890833606045783e-06,0.0
CERASE16d4,-3.865365401922458e-07,-4.713641765001793e-08
CERASE18d4,-1.33423748404254e-06,-1.6270434681507493e-07
CERASE124,0.0,0.0
CERASE126,-1.4286419271327787e-06,-4.551612906780515e-06
PYDXNDH,0.0,0.0
NDP12,0.0,0.0
LSERDHr2,0.0,0.0
GLCCERS16d4,0.0,0.0
GLCCERS16d8,2.953115051806208e-08,1.9745217606726547e-07
GLCCERS16m9,2.867943408382551e-08,1.9175740087625477e-07
GLCCERS18,1.1002582475020937e-08,7.356583857861181e-08
GLCCERS18d4,1.704429028045344e-08,1.1396210937800344e-07
GLCCERS18d8,1.1227216458553506e-07,7.506779390676726e-07
GLCCERS18m9,2.995501641603595e-07,2.0028624255121287e-06
CERS116,0.0,0.0
CERS118,0.0,3.4747547924584905e-06
CER4DS16,0.0,0.0
CER4DS18,0.0,0.0
CER4DS2d16,1.2974944248041337e-07,3.9793342354671683e-07
CER4DS2d18,1.431481193220018e-06,2.989766876923907e-06
PYDXS,0.0,0.0
TYRPYRAT,0.0,0.0
OPMT1,0.0,0.0
OPMT2,0.0,0.0
HCO3DH,0.0,0.0
FAcoaRavge,0.003743535323962835,0.00409195229357507
FARavge,0.0,0.0
STERYLEST,0.0,0.00019386322831618652
Nglycmann,0.0,0.0
Oglycmann,0.0,0.0
FACOAL180p,0.0,0.0
FACOAL181p,0.0,0.0
FACOAL182p,0.0,0.0
FACOAL183p,0.0,0.0
FACOAL240,-2.4949870417621104e-06,0.0
PTE141x,0.0,0.0
PTE161x,0.0,0.0
PTE181x,0.0,0.0
PTE182x,0.0,0.0
PTE183x,0.0,0.0
PTE260x,0.0,0.0
DESAT182,0.0008011165593280466,0.000875677790825065
POLYPPX,0.0,0.0
CER8DS16,1.3948817799378044e-07,1.7009964987746775e-08
CER8DS18,3.787906955451871e-07,4.61918462308338e-08
CER8DS2d16,5.8210584601887594e-08,3.892095769435203e-07
CER8DS2d18,6.582409474771194e-07,2.783590022817749e-06
CER9MET16,2.867943408382551e-08,1.9175740087625477e-07
CER9MET18,2.995501641603595e-07,2.0028624255121287e-06
SBPP3er,0.0,0.0
SGPL12,-1.7207740242347858e-06,-2.0984076446509284e-07
HXDCEALR,-1.7207740242347858e-06,-2.0984076446509284e-07
CERavg,6.297434672405438e-06,7.679442432391321e-07
CERS2d16,1.2974944248041337e-07,3.9793342354671683e-07
CERS2d18,1.4424837756950389e-06,3.063332715502519e-06
CERS424,3.073460478256038e-08,3.030583113452067e-07
CERS426,2.7571514382919168e-08,2.123244896454903e-07
