,Derived,Consensus
,5.9,5.9
ADPtn,0.0,0.0
ATPtn,0.0,0.0
FACOAE140,0.0,0.0
FACOAL260,-3.890845048901577e-08,-3.885900983736705e-07
GLCter,0.0,0.0
DAGL_PP,0.0,0.0
M4MPDOLter,0.0,0.0
M7MASNBterg,0.0,0.0
MANter,0.0,0.0
MIPCS124_SC,4.454968993483175e-10,0.0
MIPCS126_SC,0.0,0.0
MIPCS224_SC,0.0,0.0
MIPCS226_SC,0.0,0.0
MIPCS324_SC,2.1416423874545102e-09,3.662725051128483e-07
MIPCS326_SC,1.639949809814796e-09,2.3925789378422124e-07
NADH2_u6mh,0.28513212126592996,0.29112988202602225
NDPK10,0.0,0.0
NTP10,0.0,0.0
NTP5,0.0,0.0
NTP7,0.0,0.0
NTP9,0.0,0.0
SPHK21c,-4.6864410933985307e-08,-1.7914977608228477e-08
POLYPPE,0.0,0.0
NDP11,0.0,0.0
PHEPYRAT,0.0,0.0
NDP10,0.0,0.0
MAGL_PP,0.0,0.0
CERASE116,-3.5336485520906846e-09,-3.397322913199279e-08
CERASE118,-5.144816039395837e-08,0.0
CERASE16d4,-1.0527127330752125e-08,-4.024231749654397e-09
CERASE18d4,-3.633728360323318e-08,-1.389074585857408e-08
CERASE124,0.0,0.0
CERASE126,-3.890845048901577e-08,-3.885900983736705e-07
PYDXNDH,0.0,0.0
NDP12,0.0,0.0
LSERDHr2,0.0,0.0
GLCCERS16d4,0.0,0.0
GLCCERS16d8,8.042599013967414e-10,1.6857312362343632e-08
GLCCERS16m9,7.810640094859903e-10,1.6371125751791975e-08
GLCCERS18,2.9964751596987717e-10,6.2806211854304395e-09
GLCCERS18d4,4.6418913519643265e-10,9.729418604138962e-09
GLCCERS18d8,3.0576526290072435e-09,6.408849349967748e-08
GLCCERS18m9,8.158035879558345e-09,1.7099268388998283e-07
CERS116,0.0,0.0
CERS118,0.0,2.9665424856633994e-07
CER4DS16,0.0,0.0
CER4DS18,0.0,0.0
CER4DS2d16,3.5336485520906846e-09,3.397322913199279e-08
CER4DS2d18,3.898557888731115e-08,2.552488158840319e-07
PYDXS,0.0,0.0
TYRPYRAT,0.0,0.0
OPMT1,0.0,0.0
OPMT2,0.0,0.0
HCO3DH,0.0,0.0
FAcoaRavge,0.00013304081475726633,0.00034934696268479933
FARavge,0.0,0.0
STERYLEST,0.0,1.6550908986614524e-05
Nglycmann,0.0,0.0
Oglycmann,0.0,0.0
FACOAL180p,0.0,0.0
FACOAL181p,0.0,0.0
FACOAL182p,0.0,0.0
FACOAL183p,0.0,0.0
FACOAL240,-6.794984882181442e-08,0.0
PTE141x,0.0,0.0
PTE161x,0.0,0.0
PTE181x,0.0,0.0
PTE182x,0.0,0.0
PTE183x,0.0,0.0
PTE260x,0.0,0.0
DESAT182,2.8470734358054994e-05,7.476025001454705e-05
POLYPPX,0.0,0.0
CER8DS16,3.798890035453886e-09,1.4522113596423084e-09
CER8DS18,1.0316173166255136e-08,3.943589764446269e-09
CER8DS2d16,1.585323910882732e-09,3.322843811413561e-08
CER8DS2d18,1.792677505878277e-08,2.376466415207124e-07
CER9MET16,7.810640094859903e-10,1.6371125751791975e-08
CER9MET18,8.158035879558345e-09,1.7099268388998283e-07
SBPP3er,0.0,0.0
SGPL12,-4.6864410933985307e-08,-1.7914977608228477e-08
HXDCEALR,-4.6864410933985307e-08,-1.7914977608228477e-08
CERavg,1.715074508105592e-07,6.556258960010422e-08
CERS2d16,3.5336485520906846e-09,3.397322913199279e-08
CERS2d18,3.9285226403281025e-08,2.615294370694623e-07
CERS424,8.370507850601838e-10,2.5873346752127737e-08
CERS426,7.50904479403473e-10,1.812702354270283e-08
GLCCERavg,1.356484907061463e-08,2.843196552933653e-07
IPC116PLC_PP,0.0,0.0
IPC118PLC_PP,-1.908503506714005e-09,0.0
IPC424PLC_PP,0.0,0.0
IPC426PLC_PP,0.0,0.0
IPCavg,1.91809397659699e-08,3.13616324268215e-07
IPCS116_PP,0.0,0.0
IPCS118_PP,0.0,3.12048242646874e-08
IPCS424_PP,8.370507850601838e-10,2.5873346752127737e-08
IPCS426_PP,7.50904479403473e-10,1.812702354270283e-08
mip2c424plc_pp,0.0,0.0
mip2c426plc_pp,0.0,0.0
MIP2Cavg,7.575189582525378e-10,3.13616324268215e-07
mip2cs424_pp,8.105452853302154e-12,3.3556946696699007e-09
mip2cs426_pp,0.0,0.0
mipc424plc_pp,0.0,0.0
mipc426plc_pp,0.0,0.0
MIPCavg,3.6937605854682825e-09,3.13616324268215e-07
MIPCS424_SC,1.3886457757887934e-10,1.4457712548764711e-08
MIPCS426_SC,8.532586952431733e-11,7.2445370905957664e-09
SPHLIPIDS,0.0,1.2906021574823665e-06
SPHS1Pter,0.0,0.0
OGLYCOStg,0.0,0.0
CHITINtg,0.0,0.0
MANNANtg,0.0,0.0
FARCOAtm,0.0,0.0
FACOAtm,0.0,0.0
CLPNtm,0.0,4.014169818126308e-07
DEDOLPP,0.0,0.0
DEDOLS,0.0,0.0
NADHter,3.6268116635687774e-05,8.41444241795921e-05
NADter,-3.6268116635687774e-05,-8.41444241795921e-05
NADPHter,3.54750331364275e-05,7.792615123272023e-05
NADPter,-3.54750331364275e-05,-7.792615123272023e-05
GPAILter,0.0,0.0
PI34BP4P_PP,0.0,0.0
12DGRter,0.0,0.0
PEter,0.0,0.0
PAter,0.0,0.0
DUDPtn,0.0,0.0
MI13456Ptn,0.0,0.0
PMI23456PH,0.0,0.0
PMI23456PS,0.0,0.0
PMI12456PH,0.0,0.0
PMI12456PS,0.0,0.0
DPMI2346PH1,0.0,0.0
DPMI2346PS1,0.0,0.0
DPMI2346PH5,0.0,0.0
DPMI2346PS5,0.0,0.0
DPMI1246PH3,0.0,0.0
DPMI1246PS3,0.0,0.0
DPMI1246PH5,0.0,0.0
DPMI1246PS5,0.0,0.0
DNADtn,0.0,0.0
DOLter,0.0,0.0
2HBO,0.0,0.0
2HBt2,0.0,0.0
34HPPt2p,0.0,0.0
3C4MOPtm,0.0004018592684589282,0.000532956379293355
4ABUTNtm,0.0,0.0
4ABUTtm,0.0,0.0
4H2OGLTtm,0.0,0.0
4H2OGLTtp,0.0,0.0
4HPRO_LTtm,0.0,0.0
8AONNt2,0.0,0.0
AABTN,0.0,0.0
AACTOOR,0.0,0.0
AASAD2,0.00041731272692243395,0.0004809219799365232
ACCOAtn,0.0,0.0
ACRNtp,0.0,0.0
ACtp,0.0,0.0
ADEtm,0.0,0.0
AHMMPS,0.0,0.0
AKGt2n,0.0,0.0
AKGtp,0.0,0.0
AOBUTDs,0.0,0.0
APRTO2,0.0,0.0
ARAB1D2,0.0,0.0
ARAB_Dt,0.0,0.0
ARGt2m,0.0,0.0
ASNt2m,0.0,0.0
CBPSn,0.0,0.0
CBPtn,0.0,0.0
CDPtn,0.0,0.0
CITtap,0.0,0.0
CITtcp,0.0,0.0
CMPN,0.0,0.0
CO2tp,0.0,0.0
COAtn,0.0,0.0
CRNtp,0.0,0.0
CYSTtp,0.0,0.0
DADPtn,0.0,0.0
DANNt2,0.0,0.0
DCDPtn,0.0,0.0
DDPAm,0.0005029789700282115,0.0004647347214315062
DESAT14,0.0,0.0
DESAT18_2,6.452479515727417e-05,0.00016943327690212767
DGDPtn,0.0,0.0
DGGH,0.0,0.0
DIAT,0.0,0.0
DNTPPA,0.0,0.0
DOLPt2er,-0.0009883605735765593,-0.0008694065260445286
DPCOAKm,0.0,0.0
DUMPtn,0.0,0.0
E4HGLUtm,0.0,0.0
E4HGLUtp,0.0,0.0
E4Ptm,0.0005029789700282115,0.0004647347214315062
FA100tp,0.0,0.0
FA120tp,0.0,0.0
FA80tp,0.0,0.0
FMNATm,0.0,0.0
FMNRx,0.0,0.0
FORtrn,0.0,0.0
FRUK,0.0,0.0
FTHFL2,0.0,0.0
G13MTg,0.0,0.0
G16MTg,0.0,0.0
G6PDA,0.0,0.0
GDPtg,0.0,0.0
GDPtn,0.0,0.0
GGLGH,0.0,0.0
GLNt2n,0.0,0.0
GLUt2n,0.0,0.0
GLXtp,0.0,0.0
GLYAT,0.0,0.0
GSNK,0.0,0.0
GSNtm,0.0,0.0
GUAtm,0.0,0.0
H2O2tn,0.0,0.0
HCYSt2p,0.0,0.0
HYPOE,0.0,0.0
IND3ACtm,0.0,0.0
INSK,0.0,0.0
Kt2,0.0,0.0
LCAD,0.0,0.0
L_LACtm,0.0,0.0
LYSt2m,0.0,0.0
HISt2m,0.0,0.0
MALOAAtp,0.0,0.0
MANNANter,-0.0009883605735765593,-0.0008694065260445286
MELIBt2,0.0,0.0
MGSA,0.0,0.0
MINOHPtn,0.0,0.0
NABTNO,0.0,0.0
NADNm,0.0,0.0
NADPPPSm,0.0,0.0
NADtn,0.0,0.0
NDP4,0.0,0.0
NH4tn,0.0,0.0
NMNt2m,0.0,0.0
NMNt2p,0.0,0.0
NTD10,0.0,0.0
NTD3,0.0,0.0
NTD5,0.0,0.0
NTD7,0.0,0.0
NTP4,0.0,0.0
OBDHc,0.0,0.0
PAK_PP,0.0,0.0
PAN4Ptm,0.0,0.0
PAPtm,0.0,0.0
PHCHGS,0.0,0.0
PHEt2m,0.0,0.0
PI3P4K_PP,0.0,0.0
PIt2n,0.0,0.0
PIt2p,0.0,0.0
PNP,0.0,0.0
PPND,0.0,0.0
PRPPtm,-4.413925390987783e-09,-4.574981061632351e-09
PTD1INOtn_SC,0.0,0.0
PTPATim,0.0,0.0
PYDAMK,0.0,0.0
PYDXK,0.0,0.0
PYDXNK,0.0,0.0
PYNP2r,0.0,0.0
PYRt2p,0.0,0.0
QULNtm,0.0,0.0
RIBFLVtm,0.0,0.0
SHSL1,0.0,0.0
SHSL4r,0.0,0.0
SPMDAT1,0.0,0.0
SUCRt2,0.0,0.0
TMDK1,0.0,0.0
TMN,0.0,0.0
MPK,0.0,0.0
TREHv,0.0,0.0
TRPt2m,0.0,0.0
TYRt2m,0.0,0.0
UMPtn,0.0,0.0
XYLTD_D,0.0,0.0
ACOHT,0.0,0.0
NFORTYRS,0.0,0.0
COAHLm,0.0,0.0
PSPH1Pter,0.0,0.0
SPH1Pter,0.0,0.0
2MBACt,0.0,0.0
ACESt,0.0,0.0
IAMACt,0.0,0.0
IBUTACt,0.0,0.0
PHEACt,0.0,0.0
TAURt,0.0,0.0
FRDPtm,0.0,0.0
AMPtn,0.0,0.0
ASPt5n,0.0,0.0
MI145Ptn,0.0,0.0
PI4Ptn,0.0,0.0
23CAMPH,0.0,0.0
AC2MBTOHT,0.0,0.0
AC2PHETOHT,0.0,0.0
ACIAMOHT,0.0,0.0
ACIBUTOHT,0.0,0.0
PECTH,0.0,0.0
5AOPt2,0.0,0.0
ABUTt2r,0.0,0.0
AKGt2r,0.0,0.0
ARAB1D1,0.0,0.0
CBASPtn,0.0,0.0
CERH124,0.0,0.0
CERH126,3.890845048901577e-08,3.885900983736705e-07
CERS2d24,0.0,0.0
CERS2d26,0.0,0.0
CERS324,5.8427543333330754e-08,5.447517204509656e-07
CERS326,3.540761094291862e-08,3.83055733039546e-07
CITt2r,0.0,0.0
CYOR_u6m,0.34588577773246737,0.3494407215216909
DNMPPA,0.0,0.0
FACOAL240p,0.0,0.0
FACOAL260p,0.0,0.0
FAO182p_even_even,0.0,0.0
FAO182p_even_odd,0.0,0.0
FAO182p_odd_odd,0.0,0.0
OCDCYAt,0.0,0.0
PAPt,0.0,0.0
PDE2,0.0,0.0
pla2_2e,0.0,0.0
SBTD_D2,0.0,0.0
SBTD_L,0.0,0.0
SBTR,0.0,0.0
PDXPHT,0.0,0.0
E4PDH,0.0,0.0
EPISTESTH_Ppe,0.0,0.0
ERGSTESTH_Ppe,0.0,0.0
FECOSTESTH_Ppe,0.0,0.0
LANOSTESTH_Ppe,0.0,0.0
ZYMSTESTH_Ppe,0.0,0.0
plbpc_ppe2,0.0,0.0
CERS124er,0.0,0.0
CERS126er,0.0,0.0
CERASE124er,0.0,0.0
CERASE126er,0.0,0.0
CERASE224er,0.0,0.0
CERASE226er,0.0,0.0
PTE12x,0.0,0.0
MN1PP,0.0,0.0
MN6PR,0.0,0.0
MNDH,0.0,0.0
PDX5PSYN,0.0,0.0
CERS224er,0.0,0.0
CERS226er,0.0,0.0
IPC124PLC_PP,-4.454968993483175e-10,0.0
IPC126PLC_PP,0.0,0.0
IPC224PLC_PP,0.0,0.0
IPC226PLC_PP,0.0,0.0
IPC324PLC_PP,0.0,0.0
IPC326PLC_PP,0.0,0.0
IPCS124_PP,0.0,0.0
IPCS126_PP,0.0,0.0
IPCS224_PP,3.260759760214883e-10,5.3314775125596556e-09
IPCS226_PP,2.6277887479378765e-10,4.296543642474546e-09
IPCS324_PP,1.038177411091518e-08,5.010020780184734e-07
IPCS326_PP,8.719634677434287e-09,3.550136790716194e-07
MIP2C124PLC_PP,4.454968993483175e-10,0.0
MIP2C126PLC_PP,0.0,0.0
MIP2C224PLC_PP,0.0,0.0
MIP2C226PLC_PP,0.0,0.0
MIP2C324PLC_PP,-4.454968993483175e-10,0.0
MIP2C326PLC_PP,0.0,0.0
MIP2CS124_PP,4.454968993483175e-10,0.0
MIP2CS126_PP,0.0,0.0
MIP2CS224_PP,0.0,0.0
MIP2CS226_PP,0.0,0.0
MIP2CS324_PP,0.0,1.8443776030213724e-07
MIP2CS326_PP,3.039166060509182e-10,1.2582286929640788e-07
MIPC124PLC_PP,0.0,0.0
MIPC126PLC_PP,0.0,0.0
MIPC224PLC_PP,0.0,0.0
MIPC226PLC_PP,0.0,0.0
MIPC324PLC_PP,0.0,0.0
MIPC326PLC_PP,0.0,0.0
PYMDSYN,0.0,0.0
ALADt2r,0.0,0.0
EPISTt,0.0,0.0
PHEDt2r,0.0,0.0
ALADO,0.0,0.0
PHEDO,0.0,0.0
13BGHe,0.0,0.0
2DDA7Ptm,-0.0005029789700282115,-0.0004647347214315062
2OXOADPtim,0.0,0.0
34HPLFM,0.0,0.0
34HPPt2m,0.0,0.0
3OPHB_5tm,0.0,0.0
4ABZtm,2.2069626959275723e-09,0.0
4HBZCOAFm,0.0,0.0
4HBZFm,0.0,0.0
4HGLSDm,0.0,0.0
4HTHRS,0.0,0.0
AASAD1,0.0,0.0
ACACT1m,0.00021762194159030197,0.0005048802700207374
