,Derived,Consensus
,C0.1,C0.1
ADPtn,0.0,0.0
ATPtn,0.0,0.0
FACOAE140,0.0,0.0
FACOAL260,0.0,0.0
GLCter,0.0,0.0
DAGL_PP,0.0,0.0
M4MPDOLter,0.0,0.0
M7MASNBterg,0.0,0.0
MANter,0.0,0.0
MIPCS124_SC,2.3769616073157935e-07,0.0
MIPCS126_SC,0.0,2.442572617212199e-07
MIPCS224_SC,0.0,-2.442572617212199e-07
MIPCS226_SC,0.0,0.0
MIPCS324_SC,3.749828451430647e-07,1.6780473880247805e-05
MIPCS326_SC,0.0,1.0961403821595216e-05
NADH2_u6mh,3.9149367936324375,3.8053876827075808
NDPK10,0.0,0.0
NTP10,0.0,0.0
NTP5,0.0,0.0
NTP7,0.0,0.0
NTP9,0.0,0.0
SPHK21c,-2.8812006960123886e-07,-8.207599795880963e-07
POLYPPE,0.0,0.0
NDP11,0.0,0.0
PHEPYRAT,0.0,0.0
NDP10,0.0,0.0
MAGL_PP,0.0,0.0
CERASE116,-2.8310116124918673e-07,0.0
CERASE118,0.0,0.0
CERASE16d4,-2.8812006960123886e-07,-1.8436687116968837e-07
CERASE18d4,0.0,-6.363931084184079e-07
CERASE124,0.0,0.0
CERASE126,0.0,0.0
PYDXNDH,0.0,0.0
NDP12,0.0,0.0
LSERDHr2,0.0,0.0
GLCCERS16d4,0.0,0.0
GLCCERS16d8,1.1656944976677974e-07,7.723039153603204e-07
GLCCERS16m9,1.1320743662626374e-07,7.500296752647538e-07
GLCCERS18,4.343091828888791e-08,2.8774149924623845e-07
GLCCERS18d4,6.727958460143705e-08,4.457453193393517e-07
GLCCERS18d8,4.431762467857956e-07,2.9361616724805165e-06
GLCCERS18m9,1.182425919788143e-06,7.833889319225001e-06
CERS116,0.0,1.5564555791634851e-06
CERS118,4.035452910939555e-06,1.359097065721133e-05
CER4DS16,0.0,0.0
CER4DS18,9.945258902967494e-07,0.0
CER4DS2d16,2.8310116124918673e-07,1.5564555791634851e-06
CER4DS2d18,2.4402195856689114e-06,1.1694014778932229e-05
PYDXS,0.0,0.0
TYRPYRAT,0.0,0.0
OPMT1,0.0,0.0
OPMT2,0.0,0.0
HCO3DH,0.0,0.0
FAcoaRavge,0.0060457574385605044,0.01600504406048725
FARavge,0.0,0.0
STERYLEST,0.0,0.0007582662964523494
Nglycmann,0.0,0.0
Oglycmann,0.0,0.0
FACOAL180p,0.0,0.0
FACOAL181p,0.0,0.0
FACOAL182p,0.0,0.0
FACOAL183p,0.0,0.0
FACOAL240,0.0,0.0
PTE141x,0.0,0.0
PTE161x,0.0,0.0
PTE181x,0.0,0.0
PTE182x,0.0,0.0
PTE183x,0.0,0.0
PTE260x,0.0,0.0
DESAT182,0.001293792091851948,0.0034250794289442713
POLYPPX,0.0,0.0
CER8DS16,1.0397294789292018e-07,6.653187025755291e-08
CER8DS18,2.8234640251734306e-07,1.8067232487547663e-07
CER8DS2d16,2.2977688639304347e-07,1.5223335906250742e-06
CER8DS2d18,1.8092798844542981e-06,1.0887585623000237e-05
CER9MET16,1.1320743662626374e-07,7.500296752647538e-07
CER9MET18,1.182425919788143e-06,7.833889319225001e-06
SBPP3er,0.0,0.0
SGPL12,-2.8812006960123886e-07,-8.207599795880963e-07
HXDCEALR,-2.8812006960123886e-07,-8.207599795880963e-07
CERavg,4.694038279590076e-06,3.0036961741558875e-06
CERS2d16,2.8310116124918673e-07,1.5564555791634851e-06
CERS2d18,2.483650503957799e-06,1.1981756278178467e-05
CERS424,1.2132282429276397e-07,1.1853661230588613e-06
CERS426,1.0883669470887383e-07,8.304746898521477e-07
GLCCERavg,1.966089555857307e-06,1.3025871400916182e-05
IPC116PLC_PP,0.0,0.0
IPC118PLC_PP,0.0,0.0
IPC424PLC_PP,0.0,0.0
IPC426PLC_PP,0.0,0.0
IPCavg,2.7801001803850765e-06,1.4368074218895288e-05
IPCS116_PP,0.0,0.0
IPCS118_PP,2.7661996794831515e-07,1.4296233847800813e-06
IPCS424_PP,1.2132282429276397e-07,1.1853661230588613e-06
