,Derived,Derived
,0.0,9.9
ADPtn,0.0,0.0
ATPtn,0.0,0.0
FACOAE140,0.0,0.0
FACOAL260,0.0,0.0
GLCter,0.0,0.0
DAGL_PP,0.0,0.0
M4MPDOLter,0.0,0.0
M7MASNBterg,0.0,0.0
MANter,0.0,0.0
MIPCS124_SC,0.0,0.0
MIPCS126_SC,0.0,0.0
MIPCS224_SC,-3.6689739645514974e-08,0.0
MIPCS226_SC,-2.9567613714326773e-08,0.0
MIPCS324_SC,2.91102987559753e-07,6.995853454023566e-08
MIPCS326_SC,2.6038409196072417e-07,4.434569298916287e-08
NADH2_u6mh,3.967384100474051,7.279658418428951
NDPK10,0.0,0.0
NTP10,0.0,0.0
NTP5,0.0,0.0
NTP7,0.0,0.0
NTP9,0.0,0.0
SPHK21c,-4.552906894194217e-07,0.0
POLYPPE,0.0,0.0
NDP11,0.0,0.0
PHEPYRAT,0.0,0.0
NDP10,0.0,0.0
MAGL_PP,0.0,0.0
CERASE116,0.0,-2.754027618001512e-06
CERASE118,0.0,0.0
CERASE16d4,-4.552906894194217e-07,2.3738096211622374e-06
CERASE18d4,0.0,-2.3738096211622374e-06
CERASE124,0.0,0.0
CERASE126,0.0,0.0
PYDXNDH,0.0,0.0
NDP12,0.0,0.0
LSERDHr2,0.0,0.0
GLCCERS16d4,0.0,0.0
GLCCERS16d8,9.049404666060589e-08,2.174807676875556e-08
GLCCERS16m9,8.788408174595525e-08,2.112083421057421e-08
GLCCERS18,3.371586255241666e-08,8.10280006445961e-09
GLCCERS18d4,5.222982419844719e-08,1.2552187333898047e-08
GLCCERS18d8,3.4404221719964873e-07,8.26823070407352e-08
GLCCERS18m9,9.179292393684429e-07,2.2060230813792006e-07
CERS116,0.0,0.0
CERS118,3.2029310673125175e-06,0.0
CER4DS16,-2.2162430235632875e-07,2.658473999634652e-06
CER4DS18,8.065639854522236e-07,-1.3912120019548337e-06
CER4DS2d16,2.2162430235632875e-07,9.555361836686037e-08
CER4DS2d18,1.920294885919928e-06,1.054211121453464e-06
PYDXS,0.0,0.0
TYRPYRAT,0.0,0.0
OPMT1,0.0,0.0
OPMT2,0.0,0.0
HCO3DH,0.0,0.0
FAcoaRavge,0.0035781620592092605,0.0032530592034579835
FARavge,0.0,0.0
STERYLEST,0.0,0.0
Nglycmann,0.0,0.0
Oglycmann,0.0,0.0
FACOAL180p,0.0,0.0
FACOAL181p,0.0,0.0
FACOAL182p,0.0,0.0
FACOAL183p,0.0,0.0
FACOAL240,0.0,0.0
PTE141x,0.0,0.0
PTE161x,0.0,0.0
PTE181x,0.0,0.0
PTE182x,0.0,0.0
PTE183x,0.0,0.0
PTE260x,0.0,0.0
DESAT182,0.0007657266806707818,0.0006961546695400085
POLYPPX,0.0,0.0
CER8DS16,8.43224254390275e-08,1.0272590392903193e-07
CER8DS18,2.2898392280620785e-07,2.7895996033098285e-07
CER8DS2d16,1.7837812840656112e-07,4.2868910979329775e-08
CER8DS2d18,1.410934730041191e-06,4.84759315889401e-07
CER9MET16,8.788408174595525e-08,2.112083421057421e-08
CER9MET18,9.179292393684429e-07,2.2060230813792006e-07
SBPP3er,0.0,0.0
SGPL12,-4.552906894194217e-07,0.0
HXDCEALR,-4.552906894194217e-07,0.0
CERavg,3.8068815096626407e-06,4.6377383263671295e-06
CERS2d16,2.2162430235632875e-07,9.555361836686037e-08
CERS2d18,1.9540107484723444e-06,1.0623139215179236e-06
CERS424,9.418413953666618e-08,2.2634624211978915e-08
CERS426,8.44910304464573e-08,2.0305150476775328e-08
GLCCERavg,1.5262952717255168e-06,3.668085135563427e-07
IPC116PLC_PP,0.0,0.0
IPC118PLC_PP,0.0,0.0
IPC424PLC_PP,0.0,0.0
IPC426PLC_PP,0.0,0.0
IPCavg,2.1582199791479395e-06,5.18670411089642e-07
IPCS116_PP,0.0,0.0
IPCS118_PP,2.1474288792522e-07,5.1607705903419385e-08
IPCS424_PP,9.418413953666618e-08,2.2634624211978915e-08
IPCS426_PP,7.48902332764335e-08,2.0305150476775328e-08
mip2c424plc_pp,0.0,0.0
mip2c426plc_pp,-9.600797170023786e-09,0.0
MIP2Cavg,8.523573334706174e-08,2.0483972701161844e-08
mip2cs424_pp,9.120223468135604e-10,2.1917850790243175e-10
mip2cs426_pp,-9.600797170023786e-09,0.0
mipc424plc_pp,0.0,0.0
mipc426plc_pp,0.0,0.0
MIPCavg,4.1561892510925484e-07,9.988256328851738e-08
MIPCS424_SC,1.5624932295681183e-08,3.755021248315948e-09
MIPCS426_SC,0.0,2.3072872119647516e-09
SPHLIPIDS,0.0,0.0
SPHS1Pter,0.0,0.0
OGLYCOStg,0.0,0.0
CHITINtg,0.0,0.0
MANNANtg,0.0,0.0
FARCOAtm,0.0,0.0
FACOAtm,0.0,0.0
CLPNtm,0.0,0.0
DEDOLPP,0.0,0.0
DEDOLS,0.0,0.0
NADHter,0.0011376199354000683,0.000980702171884093
NADter,-0.0011376199354000683,-0.000980702171884093
NADPHter,0.0011376199354000683,0.0009592565180699634
NADPter,-0.0011376199354000683,-0.0009592565180699634
GPAILter,0.0,0.0
PI34BP4P_PP,0.0,0.0
12DGRter,0.0,0.0
PEter,0.0,0.0
PAter,0.0,0.0
DUDPtn,0.0,0.0
MI13456Ptn,0.0,0.0
PMI23456PH,0.0,0.0
PMI23456PS,0.0,0.0
PMI12456PH,0.0,0.0
PMI12456PS,0.0,0.0
DPMI2346PH1,0.0,0.0
DPMI2346PS1,0.0,0.0
DPMI2346PH5,0.0,0.0
