,Derived,Derived
,C0.1,9.9
ADPtn,0.0,0.0
ATPtn,0.0,0.0
FACOAE140,0.0,0.0
FACOAL260,0.0,0.0
GLCter,0.0,0.0
DAGL_PP,0.0,0.0
M4MPDOLter,0.0,0.0
M7MASNBterg,0.0,0.0
MANter,0.0,0.0
MIPCS124_SC,0.0,0.0
MIPCS126_SC,0.0,0.0
MIPCS224_SC,-4.5810017655929225e-08,0.0
MIPCS226_SC,-3.691748481683708e-08,0.0
MIPCS324_SC,3.6346491222474826e-07,6.995853454023566e-08
MIPCS326_SC,3.2510996167567415e-07,4.434569298916287e-08
NADH2_u6mh,3.794686658320594,7.279658418428951
NDPK10,0.0,0.0
NTP10,0.0,0.0
NTP5,0.0,0.0
NTP7,0.0,0.0
NTP9,0.0,0.0
SPHK21c,-5.536756606898941e-07,0.0
POLYPPE,0.0,0.0
NDP11,0.0,0.0
PHEPYRAT,0.0,0.0
NDP10,0.0,0.0
MAGL_PP,0.0,0.0
CERASE116,0.0,-2.754027618001512e-06
CERASE118,0.0,0.0
CERASE16d4,-5.536756606898941e-07,2.3738096211622374e-06
CERASE18d4,0.0,-2.3738096211622374e-06
CERASE124,0.0,0.0
CERASE126,0.0,0.0
PYDXNDH,0.0,0.0
NDP12,0.0,0.0
LSERDHr2,0.0,0.0
GLCCERS16d4,0.0,0.0
GLCCERS16d8,1.1298891502997978e-07,2.174807676875556e-08
GLCCERS16m9,1.0973016912508408e-07,2.112083421057421e-08
GLCCERS18,4.2096898853301617e-08,8.10280006445961e-09
GLCCERS18d4,6.521303208510554e-08,1.2552187333898047e-08
GLCCERS18d8,4.2956369264475866e-07,8.26823070407352e-08
GLCCERS18m9,1.1461066518498925e-06,2.2060230813792006e-07
CERS116,0.0,0.0
CERS118,3.911500371442733e-06,0.0
CER4DS16,-2.744054562946799e-07,2.658473999634652e-06
CER4DS18,9.639781395440541e-07,-1.3912120019548337e-06
CER4DS2d16,2.744054562946799e-07,9.555361836686037e-08
CER4DS2d18,2.365266062173795e-06,1.054211121453464e-06
PYDXS,0.0,0.0
TYRPYRAT,0.0,0.0
OPMT1,0.0,0.0
OPMT2,0.0,0.0
HCO3DH,0.0,0.0
FAcoaRavge,0.005860056600456336,0.0032530592034579835
FARavge,0.0,0.0
STERYLEST,0.0,0.0
Nglycmann,0.0,0.0
Oglycmann,0.0,0.0
FACOAL180p,0.0,0.0
FACOAL181p,0.0,0.0
FACOAL182p,0.0,0.0
FACOAL183p,0.0,0.0
FACOAL240,0.0,0.0
PTE141x,0.0,0.0
PTE161x,0.0,0.0
PTE181x,0.0,0.0
PTE182x,0.0,0.0
PTE183x,0.0,0.0
PTE260x,0.0,0.0
DESAT182,0.001254052112497656,0.0006961546695400085
POLYPPX,0.0,0.0
CER8DS16,1.0077932595884645e-07,1.0272590392903193e-07
CER8DS18,2.736738806512241e-07,2.7895996033098285e-07
CER8DS2d16,2.2271908415506384e-07,4.2868910979329775e-08
CER8DS2d18,1.753706237260776e-06,4.84759315889401e-07
CER9MET16,1.0973016912508408e-07,2.112083421057421e-08
CER9MET18,1.1461066518498925e-06,2.2060230813792006e-07
SBPP3er,0.0,0.0
SGPL12,-5.536756606898941e-07,0.0
HXDCEALR,-5.536756606898941e-07,0.0
CERavg,4.549856702430991e-06,4.6377383263671295e-06
CERS2d16,2.744054562946799e-07,9.555361836686037e-08
CERS2d18,2.4073629610270964e-06,1.0623139215179236e-06
CERS424,1.175962854130144e-07,2.2634624211978915e-08
CERS426,1.0549367844841043e-07,2.0305150476775328e-08
GLCCERavg,1.9056993595881222e-06,3.668085135563427e-07
IPC116PLC_PP,0.0,0.0
IPC118PLC_PP,0.0,0.0
IPC424PLC_PP,0.0,0.0
IPC426PLC_PP,0.0,0.0
IPCavg,2.6947069209370127e-06,5.18670411089642e-07
IPCS116_PP,0.0,0.0
IPCS118_PP,2.6812333863323276e-07,5.1607705903419385e-08
IPCS424_PP,1.175962854130144e-07,2.2634624211978915e-08
IPCS426_PP,9.350633015651436e-08,2.0305150476775328e-08
mip2c424plc_pp,0.0,0.0
mip2c426plc_pp,-1.1987348291896072e-08,0.0
MIP2Cavg,1.0642349842955573e-07,2.0483972701161844e-08
mip2cs424_pp,1.1387314331962464e-09,2.1917850790243175e-10
mip2cs426_pp,-1.1987348291896072e-08,0.0
mipc424plc_pp,0.0,0.0
mipc426plc_pp,0.0,0.0
MIPCavg,5.189328264890075e-07,9.988256328851738e-08
MIPCS424_SC,1.950895349090711e-08,3.755021248315948e-09
MIPCS426_SC,0.0,2.3072872119647516e-09
SPHLIPIDS,0.0,0.0
SPHS1Pter,0.0,0.0
OGLYCOStg,0.0,0.0
CHITINtg,0.0,0.0
MANNANtg,0.0,0.0
FARCOAtm,0.0,0.0
FACOAtm,0.0,0.0
CLPNtm,0.0,0.0
DEDOLPP,0.0,0.0
DEDOLS,0.0,0.0
NADHter,0.0018535120301628018,0.000980702171884093
NADter,-0.0018535120301628018,-0.000980702171884093
NADPHter,0.0018491323777182608,0.0009592565180699634
NADPter,-0.0018491323777182608,-0.0009592565180699634
GPAILter,0.0,0.0
PI34BP4P_PP,0.0,0.0
12DGRter,0.0,0.0
PEter,0.0,0.0
PAter,0.0,0.0
DUDPtn,0.0,0.0
MI13456Ptn,0.0,0.0
PMI23456PH,0.0,0.0
PMI23456PS,0.0,0.0
PMI12456PH,0.0,0.0
PMI12456PS,0.0,0.0
DPMI2346PH1,0.0,0.0
DPMI2346PS1,0.0,0.0
DPMI2346PH5,0.0,0.0
DPMI2346PS5,0.0,0.0
DPMI1246PH3,0.0,0.0
DPMI1246PS3,0.0,0.0
DPMI1246PH5,0.0,0.0
DPMI1246PS5,0.0,0.0
DNADtn,0.0,0.0
DOLter,0.0,0.0
2HBO,0.0,0.0
2HBt2,0.0,0.0
34HPPt2p,0.0,0.0
3C4MOPtm,0.021668095049790663,0.007778326337278438
4ABUTNtm,0.0,0.0
4ABUTtm,0.0,0.0
4H2OGLTtm,0.0,0.0
4H2OGLTtp,0.0,0.0
4HPRO_LTtm,0.0,0.0
8AONNt2,0.0,0.0
AABTN,0.0,0.0
AACTOOR,0.0,0.0
AASAD2,0.018924594704049075,0.008042098761203454
ACCOAtn,0.0,0.0
ACRNtp,0.0,0.0
ACtp,0.0,0.0
ADEtm,0.0,0.0
AHMMPS,0.0,0.0
AKGt2n,0.0,0.0
AKGtp,0.0,0.0
AOBUTDs,0.0,0.0
APRTO2,0.0,0.0
ARAB1D2,0.0,0.0
ARAB_Dt,0.0,0.0
ARGt2m,0.0,0.0
ASNt2m,0.0,0.0
CBPSn,0.0,0.0
CBPtn,0.0,0.0
CDPtn,0.0,0.0
CITtap,0.0,0.0
