,Counts,Fraction
Sphingolipid Metabolism,114,0.95
Sterol Metabolism,114,0.95
Histidine Metabolism,112,0.9333333333333333
Quinone Biosynthesis,109,0.9083333333333333
Pentose Phosphate Pathway,106,0.8833333333333333
Fatty Acid Biosynthesis,99,0.825
Porphyrin And Chlorophyll Metabolism,99,0.825
Citric Acid Cycle,89,0.7416666666666667
"Transport, Er",88,0.7333333333333333
"Valine, Leucine, And Isoleucine Metabolism",68,0.5666666666666667
Riboflavin Metabolism,65,0.5416666666666666
Glycolysis/Gluconeogenesis,63,0.525
Pantothenate And Coa Biosynthesis,62,0.5166666666666667
Folate Metabolism,61,0.5083333333333333
Amino Sugar And Nucleotide Sugar Metabolism,43,0.35833333333333334
Methionine Metabolism,36,0.3
Cysteine Metabolism,19,0.15833333333333333
Thiamine Metabolism,17,0.14166666666666666
"Transport, Golgi Apparatus",17,0.14166666666666666
Alanine And Aspartate Metabolism,16,0.13333333333333333
Pyridoxine Metabolism,15,0.125
Nucleotide Metabolism,13,0.10833333333333334
Glyoxylate And Dicarboxylate Metabolism,13,0.10833333333333334
Arginine And Proline Metabolism,12,0.1
Biomass Composition,12,0.1
Other Amino Acid Metabolism,9,0.075
Nad Biosynthesis,6,0.05
Oxidative Phosphorylation,5,0.041666666666666664
Threonine And Lysine Metabolism,5,0.041666666666666664
Pyruvate Metabolism,4,0.03333333333333333
"Tyrosine, Tryptophan, And Phenylalanine Metabolism",4,0.03333333333333333
Carbohydrate Metabolism,3,0.025
"Transport, Mitochondrial",3,0.025
Glycerolipid Metabolism,2,0.016666666666666666
Glycine And Serine Metabolism,2,0.016666666666666666
Vitamin And Cofactor Biosynthesis,2,0.016666666666666666
Phospholipid Metabolism,2,0.016666666666666666
Glutamate Metabolism,1,0.008333333333333333
