,Reject,Reject,Reject,Reject,Reject,Reject,Reject,Reject,Reject,Reject,Reject,Reject
Growth Rate,0.00052,0.00059,0.00071,0.00083,0.001,0.0014,0.0017,0.0022,0.0073,0.013,0.025,0.1
Comparisons,,,,,,,,,,,,
Consensus vs Derived,0.7371134020618557,0.6511627906976745,0.6720202874049028,0.730072463768116,0.7528786536758193,0.7241379310344828,0.7433302667893285,0.7497665732959851,0.7901234567901234,0.7404942965779467,0.7772373540856031,0.7854166666666667
Consensus vs Fitted,0.6766467065868264,0.6834470989761092,0.7409638554216867,0.7454228421970357,0.7646017699115044,0.7550306211723534,0.7170506912442396,0.7154850746268657,0.74447646493756,0.7497630331753554,0.7657142857142857,0.8
Consensus vs Interpolated,0.6730103806228374,0.6792763157894737,0.7425307557117751,0.7550306211723534,0.7226666666666667,0.7314734088927637,0.7228699551569506,0.7672897196261682,0.7392959086584205,0.7509920634920635,0.7967244701348748,0.8031413612565445
Consensus vs ScaledConsensus,0.7145405887600357,0.6877133105802048,0.7566844919786097,0.6583476764199656,0.7106863596872285,0.6813768755516328,0.7174311926605504,0.7388888888888889,0.7550047664442326,0.7304609218436874,0.8068391866913124,0.8008342022940563
Derived vs Fitted,0.6883005977796754,0.6760925449871465,0.6490787269681743,0.7506561679790026,0.703442188879082,0.7165919282511211,0.7118959107806692,0.6872659176029963,0.7540983606557377,0.6912878787878788,0.7127236580516899,0.509683995922528
Interpolated vs Derived,0.7019230769230769,0.6605504587155964,0.6386266094420601,0.7110530896431679,0.7178349600709849,0.7398373983739838,0.6557077625570776,0.7313019390581718,0.7461538461538462,0.7273603082851637,0.4437810945273632,0.6564729867482161
Interpolated vs Fitted,0.6461011139674379,0.5370994940978078,0.5653310104529616,0.6104240282685512,0.6785079928952042,0.6305329719963866,0.6218951241950322,0.7211449676823638,0.696551724137931,0.6447876447876448,0.6692836113837095,0.7494908350305499
ScaledConsensus vs Derived,0.7322970639032815,0.679042904290429,0.7067137809187279,0.6777583187390543,0.726555652936021,0.7523277467411545,0.7537174721189591,0.7490875912408759,0.7728585178055823,0.6923076923076923,0.78900883218842,0.7820383451059536
ScaledConsensus vs Fitted,0.7191780821917808,0.6722689075630253,0.7588652482269503,0.6758620689655173,0.7559055118110236,0.7593436645396536,0.738404452690167,0.7463369963369964,0.792022792022792,0.7519230769230769,0.7946768060836502,0.8154158215010142
ScaledConsensus vs Interpolated,0.7402597402597403,0.6993464052287581,0.7235188509874326,0.7119518486672399,0.702276707530648,0.7513661202185792,0.7463369963369964,0.7596685082872928,0.7502401536983669,0.7942057942057942,0.8377609108159393,0.7981462409886715
