Method,Equation,Geweke Fails,Rhat Fails,ESS-Bulk Fails,% Geweke Fails,% Rhat Fails,% bulk-ESS Fails
Consensus,0.0,668,4,0,69.00826446280992,0.4132231404958678,0.0
Consensus,0.9,168,1,0,17.758985200845668,0.10570824524312897,0.0
Consensus,1.9,409,25,19,40.85914085914086,2.4975024975024978,1.898101898101898
Consensus,13.9,455,5,4,42.80338664158043,0.4703668861712135,0.37629350893697083
Consensus,16.9,517,5,5,46.45103324348607,0.44923629829290207,0.44923629829290207
Consensus,19.9,271,22,2,24.50271247739602,1.9891500904159132,0.18083182640144665
Consensus,23.9,218,11,4,20.222634508348794,1.0204081632653061,0.3710575139146568
Consensus,27.9,193,22,3,17.04946996466431,1.9434628975265018,0.26501766784452296
Consensus,5.9,222,3,3,21.595330739299612,0.2918287937743191,0.2918287937743191
Consensus,7.9,372,11,3,36.08147429679923,1.066925315227934,0.2909796314258002
Consensus,9.9,360,16,3,34.883720930232556,1.550387596899225,0.29069767441860467
Consensus,C0.1,313,2,0,34.20765027322405,0.2185792349726776,0.0
Derived,0.0,376,52,17,38.095238095238095,5.268490374873354,1.7223910840932117
Derived,0.9,339,0,0,31.417979610750695,0.0,0.0
Derived,1.9,298,2,0,29.799999999999997,0.2,0.0
Derived,13.9,382,5,5,36.73076923076923,0.4807692307692308,0.4807692307692308
Derived,16.9,157,5,5,15.081652257444764,0.48030739673390976,0.48030739673390976
Derived,19.9,300,21,4,27.149321266968325,1.9004524886877827,0.36199095022624433
Derived,23.9,339,5,2,30.376344086021508,0.4480286738351254,0.17921146953405018
Derived,27.9,376,1,0,33.935018050541515,0.09025270758122744,0.0
Derived,5.9,247,3,3,23.170731707317074,0.28142589118198874,0.28142589118198874
Derived,7.9,268,3,3,25.023342670401494,0.2801120448179272,0.2801120448179272
Derived,9.9,351,304,5,33.019755409219194,28.598306679209784,0.4703668861712135
Derived,C0.1,455,6,1,48.87218045112782,0.644468313641246,0.10741138560687433
Fitted,0.0,711,4,2,68.29971181556196,0.38424591738712777,0.19212295869356388
Fitted,0.9,223,0,0,22.47983870967742,0.0,0.0
Fitted,1.9,440,16,0,44.44444444444444,1.6161616161616161,0.0
Fitted,13.9,418,7,3,38.13868613138686,0.6386861313868614,0.2737226277372263
Fitted,16.9,334,16,10,30.89731729879741,1.4801110083256246,0.9250693802035153
Fitted,19.9,335,17,14,29.75133214920071,1.5097690941385435,1.2433392539964476
Fitted,23.9,307,3,3,27.337488869100625,0.26714158504007124,0.26714158504007124
Fitted,27.9,271,3,3,25.0,0.27675276752767525,0.27675276752767525
Fitted,5.9,199,3,3,19.043062200956935,0.28708133971291866,0.28708133971291866
Fitted,7.9,370,3,3,35.00473036896878,0.28382213812677387,0.28382213812677387
Fitted,9.9,398,3,3,35.2212389380531,0.2654867256637168,0.2654867256637168
Fitted,C0.1,363,0,0,38.010471204188484,0.0,0.0
Interpolated,0.0,571,1,0,58.98760330578512,0.10330578512396695,0.0
Interpolated,0.9,187,41,1,18.681318681318682,4.095904095904096,0.0999000999000999
Interpolated,1.9,366,0,0,37.3469387755102,0.0,0.0
Interpolated,13.9,338,11,7,29.7273526824978,0.9674582233948988,0.6156552330694811
Interpolated,16.9,309,16,3,26.869565217391305,1.391304347826087,0.26086956521739135
Interpolated,19.9,337,33,12,31.378026070763497,3.072625698324022,1.1173184357541899
Interpolated,23.9,430,0,0,35.47854785478548,0.0,0.0
Interpolated,27.9,297,0,0,25.449871465295633,0.0,0.0
Interpolated,5.9,232,4,3,21.66199813258637,0.3734827264239029,0.2801120448179272
Interpolated,7.9,392,10,9,37.547892720306514,0.9578544061302682,0.8620689655172413
Interpolated,9.9,247,9,5,22.849213691026826,0.8325624421831638,0.46253469010175763
Interpolated,C0.1,446,12,0,45.97938144329897,1.2371134020618557,0.0
ScaledConsensus,0.0,500,0,0,49.45598417408507,0.0,0.0
ScaledConsensus,0.9,366,38,7,36.20178041543027,3.758654797230465,0.6923837784371909
ScaledConsensus,1.9,259,12,0,26.24113475177305,1.21580547112462,0.0
ScaledConsensus,13.9,403,4,4,37.69878391019644,0.37418147801683815,0.37418147801683815
ScaledConsensus,16.9,436,22,11,39.89021043000915,2.012808783165599,1.0064043915827996
ScaledConsensus,19.9,365,5,5,34.56439393939394,0.4734848484848485,0.4734848484848485
ScaledConsensus,23.9,216,7,7,19.618528610354225,0.6357856494096277,0.6357856494096277
ScaledConsensus,27.9,325,3,3,28.08988764044944,0.25929127052722556,0.25929127052722556
ScaledConsensus,5.9,388,7,3,38.1139489194499,0.68762278978389,0.29469548133595286
ScaledConsensus,7.9,430,19,3,40.451552210724365,1.7873941674506115,0.28222013170272814
ScaledConsensus,9.9,532,79,14,49.03225806451613,7.281105990783409,1.2903225806451613
ScaledConsensus,C0.1,416,7,1,38.769804287045666,0.65237651444548,0.09319664492078285
