Rxn,Method,Equation,Geweke Fails,Rhat,ESS-Bulk,ESS-Tail,Rhat Fails,ESS-Bulk Fails
CO2t,Consensus,C0.1,4,1.0540967781225374,883.8647907559263,1047.1111089014835,True,False
Ex_co2,Consensus,C0.1,4,1.0540967781225374,883.8647907559263,1039.011912097836,True,False
NADPPPS,Consensus,0.0,4,1.014070023780921,622.2424141747988,1007.9767678541187,True,False
ACONTm,Consensus,0.0,4,1.0124347734562695,666.8956525528391,685.6431761048008,True,False
NADK,Consensus,0.0,4,1.0140354129538576,623.0464863265404,1004.4852069795571,True,False
NNDPR,Consensus,0.0,2,1.0107779988226073,780.5953488143141,1273.9274921506349,True,False
FACOAL140p,Consensus,0.9,0,1.0130516663430595,3092.3608466534542,4288.060098153672,True,False
CYSTtp,Consensus,1.9,2,1.0113643297730976,1956.4022470716511,1065.2299929512071,True,False
HCYSt2p,Consensus,1.9,2,1.0113643297730976,1956.4022470716525,1065.2299929512076,True,False
PYRt2p,Consensus,1.9,2,1.0113643297730976,1956.4022470716525,1065.2299929512076,True,False
CYSTLp,Consensus,1.9,2,1.0113643297730976,1956.4022470716511,1065.2299929512071,True,False
HACDp20,Consensus,1.9,0,1.0332712870048135,151.10831547126773,762.8871418526884,True,True
HACDp22,Consensus,1.9,0,1.0341360260008698,138.3420897193052,774.689746812042,True,True
KATp20,Consensus,1.9,0,1.0332712870048135,151.10831547126773,762.8871418526884,True,True
KATp22,Consensus,1.9,0,1.0341360260008698,138.3420897193052,774.689746812042,True,True
ACOAO20p,Consensus,1.9,0,1.0332712870048135,151.10831547126773,762.8871418526884,True,True
ACOAO22p,Consensus,1.9,0,1.0341360260008698,138.3420897193052,774.689746812042,True,True
ECOAH9p,Consensus,1.9,0,1.0332712870048135,151.10831547126773,762.8871418526884,True,True
ECOAH10p,Consensus,1.9,0,1.0341360260008698,138.3420897193052,774.689746812042,True,True
NH4tp,Consensus,1.9,2,1.0113643297730976,1956.4022470716525,1065.2299929512076,True,False
CO2t,Consensus,1.9,4,1.0730934154282181,66.95158942298954,481.22599130439687,True,True
