Thinning Factor,Biomass Composition,Subsystem,ESS-Bulk Fails
1,Consensus,Fatty Acid Biosynthesis,77
1,Consensus,"Transport, Mitochondrial",58
1,Consensus,Sphingolipid Metabolism,56
1,Consensus,Fatty Acid Degradation,54
1,Consensus,Nucleotide Metabolism,47
1,Derived,Fatty Acid Biosynthesis,73
1,Derived,"Transport, Mitochondrial",58
1,Derived,Fatty Acid Degradation,57
1,Derived,Nucleotide Metabolism,52
1,Derived,Sphingolipid Metabolism,52
1,Fitted,Fatty Acid Biosynthesis,71
1,Fitted,"Transport, Mitochondrial",57
1,Fitted,Fatty Acid Degradation,49
1,Fitted,Nucleotide Metabolism,48
1,Fitted,Sphingolipid Metabolism,47
1,Interpolated,Fatty Acid Biosynthesis,74
1,Interpolated,Nucleotide Metabolism,56
1,Interpolated,Sphingolipid Metabolism,56
1,Interpolated,"Transport, Mitochondrial",52
1,Interpolated,Fatty Acid Degradation,43
1,ScaledConsensus,Fatty Acid Biosynthesis,64
1,ScaledConsensus,"Transport, Mitochondrial",55
1,ScaledConsensus,Sphingolipid Metabolism,54
1,ScaledConsensus,Nucleotide Metabolism,51
1,ScaledConsensus,Sterol Metabolism,32
10,Consensus,Fatty Acid Biosynthesis,68
10,Consensus,"Transport, Mitochondrial",58
10,Consensus,Sphingolipid Metabolism,57
10,Consensus,Nucleotide Metabolism,50
10,Consensus,Fatty Acid Degradation,46
10,Derived,Fatty Acid Biosynthesis,65
10,Derived,"Transport, Mitochondrial",51
10,Derived,Nucleotide Metabolism,44
10,Derived,Sterol Metabolism,26
10,Derived,Sphingolipid Metabolism,25
10,Fitted,Fatty Acid Biosynthesis,71
10,Fitted,"Transport, Mitochondrial",55
10,Fitted,Nucleotide Metabolism,51
10,Fitted,Sphingolipid Metabolism,37
10,Fitted,Sterol Metabolism,27
10,Interpolated,Fatty Acid Biosynthesis,69
10,Interpolated,"Transport, Mitochondrial",59
10,Interpolated,Nucleotide Metabolism,45
10,Interpolated,Sphingolipid Metabolism,35
10,Interpolated,Sterol Metabolism,26
10,ScaledConsensus,Fatty Acid Biosynthesis,57
10,ScaledConsensus,"Transport, Mitochondrial",50
10,ScaledConsensus,Sphingolipid Metabolism,46
10,ScaledConsensus,Nucleotide Metabolism,43
10,ScaledConsensus,Sterol Metabolism,31
100,Consensus,Exchange Reaction,2
100,Consensus,Fatty Acid Biosynthesis,2
100,Consensus,Recombinant Protein Production,1
100,Consensus,"Transport, Extracellular",1
100,Consensus,Vitamin And Cofactor Biosynthesis,1
100,Derived,Nucleotide Metabolism,5
100,Derived,Histidine Metabolism,3
100,Derived,Fatty Acid Biosynthesis,2
100,Derived,Nitrogen Metabolism,2
100,Derived,Exchange Reaction,1
100,Fitted,Fatty Acid Biosynthesis,3
100,Fitted,Inositol Phosphate Metabolism,3
100,Fitted,Phospholipid Metabolism,3
100,Fitted,"Transport, Peroxisomal",2
100,Fitted,Exchange Reaction,1
100,Interpolated,"Transport, Golgi Apparatus",5
100,Interpolated,Glycosylation Pathway,3
100,Interpolated,"Transport, Peroxisomal",3
100,Interpolated,Alanine And Aspartate Metabolism,2
100,Interpolated,Exchange Reaction,2
