,Equation,Thinning,Time
0,Consensus,1,3.598728930950165
1,Derived,1,3.685652820269267
2,Interpolated,1,3.6783340255419414
3,Fitted,1,3.6871241251627604
4,ScaledConsensus,1,3.678534519672394
5,Consensus,10,3.6612815181414287
6,Derived,10,3.7074194590250653
7,Interpolated,10,3.7606192429860434
8,Fitted,10,3.6900070786476133
9,ScaledConsensus,10,3.7321985562642417
10,Consensus,100,3.8179425477981566
11,Derived,100,3.7327600797017415
12,Interpolated,100,3.800826597213745
13,Fitted,100,3.795642832914988
14,ScaledConsensus,100,3.7815402428309124
15,Consensus,1000,4.173257489999135
16,Derived,1000,4.1992958903312685
17,Interpolated,1000,4.200940183798472
18,Fitted,1000,4.240583070119222
19,ScaledConsensus,1000,4.182841964562734
